id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
jbda-agematsutown-agematu,gtfs,,JP,Nagano Prefecture,Agematsu,上松町,True,上松町公共交通,not_set,koutsu＠union.kiso.lg.jp,,https://api.gtfs-data.jp/v2/organizations/agematsutown/feeds/agematu/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-agematsutown-agematu/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,35.73346431,35.8439912669287,137.62216212,137.7256,2025-10-29 18:29:34.166039+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-aichi-miyoshicity-sansanbus,gtfs,,JP,Aichi Prefecture,Miyoshi,みよし市,True,みよし市さんさんバス,not_set,toshi_k@city.aichi-miyoshi.lg.jp,,https://api.gtfs-data.jp/v2/organizations/aichi-miyoshicity/feeds/sansanbus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aichi-miyoshicity-sansanbus/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,35.060983,35.131805,137.050232,137.1357519,2025-10-29 18:59:43.355870+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Transfers|Translations,,
jbda-akashicity-tacobustacobusmini,gtfs,,JP,Hyogo Prefecture,Akashi,明石市,True,たこバス/たこバスミニ,not_set,kousei@city.akashi.lg.jp,,https://api.gtfs-data.jp/v2/organizations/akashicity/feeds/tacobustacobusmini/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akashicity-tacobustacobusmini/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.660181,34.719719,134.876913,134.970919,2025-10-29 19:06:30.249190+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-aketetsu-akechirailway,gtfs,,JP,Gifu Prefecture,Ena,明知鉄道,True,明知鉄道,"収録路線：全線
　プラットホームの番号には未対応です
　GTFS-JP３版対応",koutsuu@city.ena.lg.jp,,https://api.gtfs-data.jp/v2/organizations/aketetsu/feeds/akechirailway/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aketetsu-akechirailway/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.30614,35.455222,137.3874,137.46111,2025-10-29 18:32:57.743084+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Translations,,
jbda-akicity-GTFS-Akicity_Bus,gtfs,,JP,Kochi Prefecture,Aki,安芸市,True,安芸市「元気バス」,,https://www.city.aki.kochi.jp/life/dtl.php?hdnKey=7285,,https://api.gtfs-data.jp/v2/organizations/akicity/feeds/GTFS-Akicity_Bus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akicity-GTFS-Akicity_Bus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.492823,33.625559,133.823472,133.980121,2025-10-29 21:08:48.998660+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-akocity-teijuurou,gtfs,,JP,Hyogo Prefecture,Ako,赤穂市,True,ていじゅうろう,,kikaku@city.ako.lg.jp,,https://api.gtfs-data.jp/v2/organizations/akocity/feeds/teijuurou/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akocity-teijuurou/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.73173,34.867167,134.203336,134.411674,2025-10-29 19:06:29.807506+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-akocity-yuranosuke,gtfs,,JP,Hyogo Prefecture,Ako,赤穂市,True,ゆらのすけ,not_set,kikaku@city.ako.lg.jp,,https://api.gtfs-data.jp/v2/organizations/akocity/feeds/yuranosuke/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akocity-yuranosuke/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.72685,34.848352,134.324125,134.433805,2025-10-29 19:06:54.288703+00:00,inactive,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-andotown-andocombus,gtfs,,JP,Nara Prefecture,Ando,安堵町,True,安堵町コミュニティバス,not_set,sougouseisaku@town.ando.lg.jp,,https://api.gtfs-data.jp/v2/organizations/andotown/feeds/andocombus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-andotown-andocombus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.59384122,34.60677885,135.73974756,135.78234883,2025-10-29 19:09:28.972007+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-anjocity-AnkuruBus,gtfs,,JP,Aichi Prefecture,Anjo,安城市,True,あんくるバス,not_set,toshikei@city.anjo.lg.jp,,https://api.gtfs-data.jp/v2/organizations/anjocity/feeds/AnkuruBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-anjocity-AnkuruBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.895007,35.001167,137.012955,137.120028,2025-10-29 19:00:09.842505+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Transfers|Translations,,
jbda-annakacity-annakashi-rosenbus,gtfs,,JP,Gunma Prefecture,Annaka,安中市,True,安中市路線バス,秋間中関−碓氷病院線、後閑柿平−安中駅線、安中榛名駅−磯部駅線、安中榛名駅−安中市役所･スポーツセンター線、安中市役所−松井田支所線,toshikeikaku@city.annaka.lg.jp,,https://api.gtfs-data.jp/v2/organizations/annakacity/feeds/annakashi-rosenbus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-annakacity-annakashi-rosenbus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,36.298545,36.361855,138.787172,138.922213,2025-10-29 18:23:29.658299+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
