key,value,definition
road_marking,bus_stop,senyalització_carretera parada_d'autobús
road_marking,dash,marcació_carretera guió
road_marking,dashed_crossing_edge,marcació_carretera vora_d'encreuament_disconegut
road_marking,dashed_give_way_line,marcació_carretera línia_de_cessió_de_pas discontinua
road_marking,dirt_road,marcació_carretera carretera_de_terra
road_marking,GB:1001,marcació_carretera GB:1001
road_marking,GB:1003A,marcació_carretera GB:1003A
road_marking,GB:1062,marcació_carretera GB:1062
road_marking,give_way,marcació_carretera cedeix_pas
road_marking,gore_chevron,marcació_carretera xavró_de_gor
road_marking,HK:604[right],marcació_carretera HK:604[dreta]
road_marking,lane_divider,marcació_carretera divisor_de_carril
road_marking,left;through,marcació_carretera esquerra;a través de
road_marking,no,marcació_carretera no
road_marking,none,marcació_carretera cap
road_marking,only,només_marcació_carretera
road_marking,pedestrian_crossing_rectangle,marcació_carretera pas_de_vianants_rectangle
road_marking,railroad_crossing,marcació_carretera pas_de_ferrocarril
road_marking,right,marcació_carretera dreta
road_marking,right;through,marcació_carretera dreta;a través de
road_marking,road,marcació_carretera carretera
road_marking,separate,marcació_carretera separada
road_marking,sharrow,marcació_carretera sharrow
road_marking,solid_crossing_edge,marcació_carretera vora_d'encreuament_sòlid
road_marking,solid_lane_divider,marcació_carretera divisor_de_carril_sòlid
road_marking,solid_line,marcació_carretera línia_sòlida
road_marking,solid_parking_space_divider,marcació_carretera divisor_d'espai_d'aparcament_sòlid
road_marking,solid_road_edge,senyalització_carretera vora_carretera_sòlida
road_marking,solid_stop_line;stop,senyalització_carretera línia_d'aturada_sòlida;aturada
road_marking,stop,senyalització_carretera aturada
road_marking,stop_line,senyalització_carretera línia_d'aturada
road_marking,through,senyalització_carretera a través de
road_marking,through;right,senyalització_carretera a través de;dreta
road_marking,traffic_sign,senyalització_carretera senyal_de_trànsit
road_marking,turn_dashes,senyalització_carretera girs
road_marking,yellow_divider,senyalització_carretera divisor_groc
road_marking,zebra,senyalització_carretera zebra
fence_type,railing,=	barana
fence_type,wire,=	cable
fence_type,wood,=	fusta
building:foundation_height,less_than_1,=	menys que 1
support,wall_mounted,=	muntat a la paret
fence_type,pole,=	pol
fence_type,split_rail,=	split_rail
road_marking,solid_stop_line,= | senyalització vial	=	solid_stop_line
4wd_only,recommended,4x4 =recomanat
by_night,only,a la nit	=	només
abandoned:amenity,prison_camp,abandonat: amenitat/servei	=	camp de presoners
abandoned:amenity,prison,abandonat: amenitat/servei	=	presó
abandoned:highway,track,"abandonat: carretera = pista , camí"
abandoned:highway,path,"abandonat: carretera= sender , corriol"
abandoned:railway,rail,abandonat: ferrocarril	=	carril
abandoned:railway,station,abandonat: ferrocarril	=	estació
abandoned:man_made,pipeline,abandonat: fet per lhome=oleducte
abandoned:landuse,landfill,abandonat: ús de la terra	=	abocador
abandoned:landuse,quarry,abandonat: ús de la terra	=	pedrera
abandoned:man_made,petroleum_well,abandonat:fet per lhome	=	pou_de_petroli
abandoned:place,hamlet,abandonat:lloc=llogaret
sanitary_dump_station,*,abocador sanitari	=	*
access,agricultural,accés	=	agrícola
access,bdouble,accés	=	bdoble
access,customers,accés	=	clients
access,discouraged,accés	=	desanimat
access,unknown,accés	=	desconegut
access,designated,accés	=	designat
access,dismount,accés	=	desmuntar
access,destination,accés	=	destinació
access,employees,accés	=	empleats
access,delivery,accés	=	entrega
access,students,accés	=	estudiants
access,licence,accés	=	llicència
access,license,accés	=	llicència
access,no,accés	=	no
access,official,accés	=	oficial
access,permit,accés	=	permís
access,permissive,accés	=	permissiu
access,private,accés	=	privat
access,public,accés	=	públic
access,residents,accés	=	residents
access,restricted,accés	=	restringit
access,forestry,accés	=	silvicultura
access,use_sidepath,accés	=	utilitzar camí lateral
access,variable,accés	=	variable
access,exclusion_zone,accés	=	Zona d'exclusió
internet_access,wired,accés a Internet	=	cablejat
internet_access,no,accés a Internet	=	no
internet_access,terminal,accés a Internet	=	Terminal
internet_access,wlan,accés a Internet	=	wifi
access:roof,no,accés: sostre	=	no
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,accés:ciutadania	=	двухбуквенный код страны ISO-3166-1
access:delivery,no,accés:lliurament	=	no
access,military,accés=militar
mechanical_coupling,nodding_donkey,acoblament mecànic	=	ruc assentint
expected_rwn_route_relations,3,acoblaments	=	*
heritage,2,acoblaments	=	*
highway:category:pl,1,acoblaments	=	*
couplings:type,Storz,acoblaments: tipus	=	Storz
addr.source:housenumber,survey,addr.source:nombre de casa	=	enquesta
managed,no,administrat	=	no
worship,stations_of_the_cross,Adoració	=	estacions de la Creu
source:address,Helsingborgs␣kommun,Adreça de la font	=	Helsingborgs_kommun
addr:place,*,adreça: barri	=	*
addr:city,*,adreça: bloc	=	*
addr:block:en,Block␣1,adreça: bloc:	=	Bloc_1
addr:subdistrict,*,adreça: carrer	=	*
addr:unit,*,adreça: ciutat	=	*
addr:postcode:source,*,adreça: codi postal	=	*
addr:province,*,adreça: codi postal: font	=	*
addr:county,Tuttlingen,adreça: comtat	=	Tuttlingen
addr:inclusion,actual,adreça: inclusió	=	actual
addr:inclusion,estimate,adreça: inclusió	=	estimar
addr:inclusion,potential,adreça: inclusió	=	potencial
addr:municipality,Vordingborg,adreça: municipi	=	Vordingborg
addr:neighbourhood,*,adreça: número de casa	=	*
addr:streetnumber,9,adreça: número de conscripció	=	*
addr:flats,1-2,adreça: pisos	=	*
addr:province:en,*,adreça: província	=	*
addr:state,*,adreça: regió	=	*
addr:ward,Mbagala,adreça: sala	=	Mbagala
addr:ward,Mbagala␣kuu,adreça: sala	=	Mbagala_kuu
addr:type,water,adreça: tipus	=	aigua
voltage:primary,22000,adreça:carrer:sym_ul	=	*
addr:street:type,Avenue,adreça:carrer:tipus	=	Avinguda
addr:country,*,adreça:ciutat	=	*
addr:city:en,October␣Gardens␣City,adreça:ciutat:ca	=	Octubre_Jardins_Ciutat
addr:city:it,Bolzano,adreça:ciutat:it	=	Bolzano
addr:community,Nima,adreça:comunitat	=	nima
addr:district:en,Western␣Al␣Omraneya,adreça:districte:ca	=	Occidental_Al_Omraneia
addr:division,Kawempe,adreça:divisió	=	Kawempe
addr:interpolation,odd,adreça:interpolació	=	estrany
addr:interpolation,even,adreça:interpolació	=	fins i tot
addr:interpolation,all,adreça:interpolació	=	tots
addr:postcode,*,adreça:lloc	=	*
addr:hamlet,*,adreça:pis	=	*
addr:floor,Floor␣1,adreça:pis	=	Pis_1
addr:floor,Floor␣2,adreça:pis	=	Pis_2
addr:village,Gumare,adreça:poble	=	Gumaré
addr:region,*,adreça:província:ca	=	*
addr:subdistrict:en,*,adreça:subdistricte	=	*
addr:town,*,adreça:suburbi	=	*
lawyer,notary,advocat	=	notari
aerodrome:type,airfield,aeròdrom: tipus	=	aeròdrom
aerodrome:type,international,aeròdrom: tipus	=	internacional
aerodrome:type,gliding,aeròdrom: tipus	=	lliscant
aerodrome:type,military,aeròdrom: tipus	=	militar
aerodrome:type,private,aeròdrom: tipus	=	privat
aerodrome:type,regional,aeròdrom: tipus	=	regional
aerospace:product,rocket,aeroespacial: producte	=	coet
aerospace:product,spacecraft_propulsion,aeroespacial: producte	=	propulsió de naus espacials
aerospace:product,robot,aeroespacial: producte	=	robot
agricultural,no,agrícola	=	no
water,ditch,aigua	=	abandoneu
water,wastewater,aigua	=	aigües residuals
water,canal,aigua	=	canal
water,basin,aigua	=	conca
water,stream,aigua	=	corrent
water,tidal,aigua	=	de marea
water,pond,aigua	=	estany
water,fishpond,aigua	=	estany de peixos
water,moat,aigua	=	fossat
water,drain,aigua	=	fuga
water,intermittent,aigua	=	intermitent
water,kolk,aigua	=	kolk
water,lake,aigua	=	llac
water,lagoon,aigua	=	llacuna
water,oxbow,aigua	=	meandre
water,dock,aigua	=	moll
water,fish_pass,aigua	=	passi de peix
water,reflecting_pool,aigua	=	piscina reflectant
water,shallow,aigua	=	poc profund
water,harbour,aigua	=	port
water,rapids,aigua	=	ràpids
water,reservoir,aigua	=	reservori
water,river,aigua	=	riu
water,salt_pool,aigua	=	sal_piscina
water,mere,aigua	=	simple
water,swale,aigua	=	sopar
water,stream_pool,aigua	=	stream_pool
water,lock,aigua	=	tancar
whitewater,put_in,aigua Blanca	=	ficar a
whitewater,hazard,aigua Blanca	=	perill
whitewater,put_in;egress,aigua Blanca	=	posar a; egrés
whitewater,egress,aigua Blanca	=	sortida
drinking_water,boil,aigua potable	=	bullir
drinking_water,no,aigua potable	=	no
wetland,string_bog,aiguamoll	=	cadena_bog
wetland,reedbed,aiguamoll	=	canyar
wetland,dambo,aiguamoll	=	dambo
wetland,mud,aiguamoll	=	fang
wetland,mangrove,aiguamoll	=	mangle
wetland,bog,aiguamoll	=	pantà
wetland,fen,aiguamoll	=	pantà
wetland,marsh,aiguamoll	=	pantà
wetland,swamp,aiguamoll	=	pantà
wetland,tidalflat,aiguamoll	=	plànol de marea
wetland,wet_meadow,aiguamoll	=	prat_mull
wetland,saltern,aiguamoll	=	salina
wetland,saltmarsh,aiguamoll	=	salina
segregated,no,aïllat	=	no
navigationaid,papi,Ajuda a la navegació	=	papi
navigationaid,als,Ajuda a la navegació	=	també
