key,value,definition
road_marking,no,=
road_marking,yes,=
bulk_purchase,yes,a granel	=	sí
abandoned,yes,Abandonat	=	sí
abandoned:building,yes,Abandonat:edifici	=	sí
access,no,accés	=	no
access,yes,accés	=	sí
internet_access,no,accés a Internet	=	no
internet_access,yes,accés a Internet	=	sí
access:roof,no,accés: sostre	=	no
access:delivery,no,accés:lliurament	=	no
managed,no,administrat	=	no
managed,yes,administrat	=	si
agricultural,no,agrícola	=	no
agricultural,yes,agrícola	=	sí
water,yes,aigua	=	si
drinking_water,no,aigua potable	=	no
drinking_water,yes,aigua potable	=	sí
segregated,no,aïllat	=	no
segregated,yes,aïllat	=	sí
compressed_air,yes,aire comprimit	=	sí
air_conditioning,yes,aire condicionat	=	sí
highspeed,no,alta velocitat	=	no
highspeed,yes,alta velocitat	=	sí
mooring,yes,amarrador	=	sí
embassy,yes,ambaixada	=	si
bottle,yes,ampolla	=	sí
oneway:bus,no,anada: autobús	=	no
oneway:bicycle,no,anada: bicicleta	=	no
oneway:bicycle,yes,anada: bicicleta	=	sí
oneway:motorcycle,no,anada: motocicleta	=	no
animated,no,animat	=	no
anthropogenic,yes,antropogènic	=	si
trees,yes,arbres	=	si
area,no,àrea	=	no
area,yes,àrea	=	sí
razed:building,yes,arrasat: edifici	=	sí
craft,yes,artesania	=	si
man_made,yes,artificial	=	sí
artist:unknown,yes,artista:desconegut	=	si
authentication:membership_card,yes,autenticació: tarjeta_de_membre	=	sí
car,no,auto	=	no
car,yes,auto	=	si
bus,no,autobús	=	no
bus,yes,autobús sí
automated,yes,automatitzat	=	si
motorcar,no,automòbil	=	no
motorcar,yes,automòbil	=	sí
expressway,no,Autopista	=	no
highway,no,autopista	=	no
highway,yes,autopista	=	si
expressway,yes,Autopista	=	sí
authoritative,yes,autoritari	=	sí
self_service,no,autoservei	=	no
self_service,yes,autoservei	=	sí
dual_carriageway,no,autovia	=	no
dual_carriageway,yes,autovia	=	sí
overtaking,no,avançament	=	no
overtaking,yes,avançament	=	sí
dennert_fir_tree,yes,avet denněrt	=	si
toilets,no,banys	=	no
toilets,yes,banys	=	sí
toilets:handwashing,no,banys: rentat de mans	=	no
bbq,yes,barbacoa	=	si
barrier,no,barrera	=	no
barrier,yes,barrera	=	sí
bdouble,yes,bdoble	=	sí
drink:viez,yes,beguda: vez	=	si
goods,no,béns	=	no
goods,yes,béns	=	sí
bicycle,no,bicicleta	=	no
bicycle,yes,bicicleta	=	sí
mtb,no,bicicleta de muntanya	=	no
mtb,yes,bicicleta de muntanya	=	sí
bicycle_road,yes,bicicleta_carretera	=	sí
biosphärenwirt,yes,biosphärenwirt	=	si
tickets:public_transport_subscription,yes,bitllets: abonament transport públic	=	si
lockable,no,bloquejable	=	no
locked,no,bloquejat	=	no
locked,yes,bloquejat	=	sí
windings:auto,yes,bobinats: automàtic	=	si
pump,no,bomba	=	no
pump,yes,bomba	=	sí
shop,no,botiga	=	no
shop,yes,botiga	=	sí
button_operated,no,botó_operat	=	no
button_operated,yes,botó_operat	=	sí
hearing_loop,yes,bucle auditiu	=	si
is_sidepath,yes,ca_sidepath	=	sí
cabin:rental,yes,cabana:lloguer	=	si
love_locks,yes,cadenats d'amor	=	si
wheelchair,no,cadira de rodes	=	no
wheelchair,yes,cadira de rodes	=	sí
wheelchair,no,cadira de rodes = no
wheelchair,yes,cadira de rodes = sí
atm,no,Caixer automàtic	=	no
atm,yes,Caixer automàtic	=	sí
traffic_calming,no,calmar el trànsit	=	no
traffic_calming,yes,calmar el trànsit	=	sí
camra,yes,càmera	=	si
waterway,yes,camí aquàtic	=	si
european_cultural_path,yes,camí cultural europeu	=	si
winter_road,yes,camí d'hivern	=	si
fire_path,yes,camí de foc	=	si
ice_road,yes,camí_gel	=	sí
gutter,no,canal	=	no
change:backward,no,canvi: al revés	=	no
change:forward,no,canvi: endavant	=	no
changing_table:fee,yes,canviador: tarifa	=	si
switch,yes,canviar	=	si
change:lanes:forward,no,canviar: carrils: endavant	=	no
change:lanes:backward,no,canviar:carrils:darrere	=	no
capacity:disabled,no,capacitat: deshabilitat	=	no
capacity:disabled,yes,capacitat: deshabilitat	=	sí
capacity:parent,no,capacitat: pare	=	no
capacity:women,no,capacitat:dones	=	no
capital,yes,capital	=	si
caravans,yes,caravanes	=	sí
tents,yes,carpes	=	sí
motorroad,no,carretera	=	no
motorroad,yes,carretera	=	sí
cycleway,no,carril bici	=	no
cycleway,yes,carril bici	=	si
cycleway:right,no,carril bici: dreta	=	no
cycleway:foot,no,carril bici: peu	=	no
cycleway:both,no,carril bici:tots dos	=	no
center_turn_lane,yes,carril de gir central	=	si
carriage,no,carro	=	no
golf_cart,yes,carro de golf	=	sí
karst,yes,càrstic	=	si
horse,no,cavall	=	no
horse,yes,cavall	=	sí
real_ale,yes,cervesa de veritat	=	si
cyclestreet,yes,ciclocarrer	=	si
moped,no,ciclomotor	=	no
moped,yes,ciclomotor	=	sí
cycle_highway,yes,ciclovia	=	si
cycleway:right:buffer,no,ciclovia:dreta:amortidor	=	no
cycleway:right:oneway,no,ciclovia:dreta:sentit únic	=	no
cycleway:left,no,ciclovia:esquerra	=	no
summit:cross,yes,cimera: creu	=	si
covered,no,cobert	=	no
covered,yes,cobert	=	sí
cocktails,yes,còctels	=	si
fuel:diesel,yes,combustible: dièsel	=	sí
fuel:e10,yes,combustible: e10	=	sí
fuel:octane_95,yes,combustible: octanatge_95	=	sí
fuel:octane_92,yes,combustible: octano_92	=	sí
fuel:octane_98,yes,combustible: octano_98	=	sí
fuel:lpg,yes,combustible:glp	=	sí
club-mate,yes,company de club	=	si
bin,no,compartiment	=	no
bin,yes,compartiment	=	sí
share_taxi,yes,compartir_taxi	=	sí
communication:mobile_phone,yes,comunicació:telèfon_mòbil	=	sí
consulate,yes,consolat	=	si
construction,yes,construcció	=	si
cosmha,yes,cosmha	=	sí
crop,no,cultiu	=	no
crop,yes,cultiu	=	si
healthcare,yes,cura de la salut	=	sí
oneway,no,d'una sola mà	=	no
oneway,yes,d'una sola mà	=	sí
smoking,no,de fumar	=	no
smoking,yes,de fumar	=	sí
tidal,no,de marea	=	no
tidal,yes,de marea	=	sí
demolished,yes,demolit	=	si
demolished:building,yes,demolit: edifici	=	sí
destroyed,yes,destruït	=	si
dibavod:needs:review,yes,dibavod:necessitats:revisió	=	sí
diet:kosher,yes,dieta: kosher	=	si
diet:vegan,yes,dieta: vegana	=	sí
diet:vegetarian,yes,dieta: vegetariana	=	sí
diet:meat,yes,dieta:carn	=	si
addr:nostreet,yes,direcció: sense carrer	=	sí
dispensing,no,dispensant	=	no
dispensing,yes,dispensant	=	sí
design:incomplete,yes,disseny: incomplet	=	sí
two_sided,yes,dues cares	=	si
building,no,edifici	=	no
building:fireproof,no,edifici: incombustible	=	no
building:fireproof,yes,edifici: incombustible	=	sí
building:prefabricated,yes,edifici: prefabricat	=	si
building:part,yes,edifici:part	=	sí
building:use:parking,yes,edifici:ús:estacionament	=	sí
building:use:residential,yes,edifici:ús:residencial	=	sí
edit_group,yes,editar grup	=	si
ephemeral,yes,efímer	=	sí
electricity,yes,electricitat	=	si
electrified,no,electrificat	=	no
removed:building,yes,eliminat: edifici	=	sí
ship,no,Embarcació	=	no
emergency,no,emergència	=	no
emergency,yes,emergència	=	sí
disused,yes,en desús	=	sí
disused:shop,yes,en desús: botiga	=	sí
crossing,no,encreuament	=	no
crossing:island,no,encreuament: illa	=	no
crossing:island,yes,encreuament: illa	=	sí
crossing:light,no,encreuament: llum	=	no
crossing:light,yes,encreuament: llum	=	sí
crossing:saltire,yes,encreuament: saltir	=	sí
crossing:barrier,no,encreuament:barrera	=	no
crossing:bell,no,encreuament:campana	=	no
crossing:bell,yes,encreuament:campana	=	sí
entrance,no,entrada	=	no
entrance,yes,entrada	=	sí
delivery,no,entrega	=	no
delivery,yes,entrega	=	sí
was:building,yes,era: edifici	=	sí
ladder,yes,escala	=	si
school:selective,no,escola: selectiva	=	no
school:selective,yes,escola: selectiva	=	si
baby_hatch,yes,escotilla de beu	=	si
shoulder,no,espatlla	=	no
shoulder,yes,espatlla	=	sí
shoulder:right,yes,espatlla: dret	=	sí
esperanto,yes,esperanto	=	si
ski,no,esquí	=	no
ski,yes,esquí	=	sí
signal_station,yes,estació de senyals	=	si
seasonal,no,estacional	=	no
seasonal,yes,estacional	=	sí
parking,no,estacionament	=	no
parking,yes,estacionament	=	si
parking:right,no,estacionament: dret	=	no
parking:left,no,estacionament: esquerra	=	no
parking:lane:both,no,estacionament:carril:tots dos	=	no
parking:both,no,estacionament:tots dos	=	no
parking:both:staggered,yes,estacionament:tots dos:escalonats	=	si
narrow,yes,estreta	=	sí
estuary,yes,estuari	=	si
flour_fortified,no,farina_fortificada	=	no
fdot:sis,yes,fdot: germana	=	sí
female,yes,femení	=	sí
railway:preserved,yes,ferrocarril: conservat	=	sí
railway:milestone:catenary_mast,no,ferrocarril: fita: catenary_mast	=	no
railway:milestone:catenary_mast,yes,ferrocarril: fita: catenary_mast	=	sí
railway:milestone:emergency_brake_override,no,ferrocarril: fita: emergency_brake_override	=	no
railway:lzb,no,ferrocarril: lzb	=	no
railway:lzb,yes,ferrocarril: lzb	=	sí
railway:scmt,yes,ferrocarril: scmt	=	sí
railway:ballastless,no,ferrocarril: sense balast	=	no
railway:atb,no,ferrocarril:atb	=	no
railway:atb,yes,ferrocarril:atb	=	sí
railway:atc,yes,ferrocarril:atc	=	sí
railway:etcs,no,ferrocarril:etc.	=	no
railway:gnt,no,ferrocarril:gnt	=	no
railway:switch:electric,no,ferrocarril:interruptor:elèctric	=	no
railway:switch:electric,yes,ferrocarril:interruptor:elèctric	=	sí
railway:kvb,yes,ferrocarril:kvb	=	sí
railway:ls,no,ferrocarril:ls	=	no
railway:local_operated,no,ferrocarril:operat_localment	=	no
railway:local_operated,yes,ferrocarril:operat_localment	=	sí
railway:pzb,no,ferrocarril:pzb	=	no
railway:pzb,yes,ferrocarril:pzb	=	sí
railway:tbl,no,ferrocarril:tbl	=	no
physically_present,no,físicament present	=	no
floating,yes,flotant	=	sí
FMMP_modified,no,FMMP_modificat	=	no
FMMP_reviewed,no,FMMP_revisat	=	no
power_supply,yes,font d'alimentació	=	sí
manhole,yes,forat dhome	=	sí
kerb,no,frenar	=	no
kerb,yes,frenar	=	sí
frontage_road,yes,front_carretera	=	sí
backup_generator,no,generador_de_respatller	=	no
