key,value,definition
4wd_only,recommended,4wd_only=recommended
abandoned:highway,path,abandoned:highway=path
abandoned:highway,track,abandoned:highway=track
abandoned:man_made,petroleum_well,abandoned:man_made=petroleum_well
abandoned:man_made,pipeline,abandoned:man_made=pipeline
abandoned:place,hamlet,abandoned:place=hamlet
abandoned:railway,rail,abandoned:railway=rail
abutters,residential,abutters=residential
access_control,full,access_control=full
access_control,partial,access_control=partial
access:delivery,no,access:delivery=no
access:roof,no,access:roof=no
access,agricultural,access=agricultural
access,customers,access=customers
access,delivery,access=delivery
access,designated,access=designated
access,destination,access=destination
access,forestry,access=forestry
access,military,access=military
access,no,access=no
access,permissive,access=permissive
access,permit,access=permit
access,private,access=private
access,unknown,access=unknown
accuracy:meters,10,accuracy:meters=10
accuracy:meters,21,accuracy:meters=21
accuracy:meters,22,accuracy:meters=22
accuracy:meters,26,accuracy:meters=26
accuracy,10,accuracy=10
addr:block_number,1,addr:block_number=1
addr:block_number,2,addr:block_number=2
addr:block_number,3,addr:block_number=3
addr:block:en,Block 1,addr:block:en=Block 1
addr:block,*,addr:block=*
addr:city:ar,الــوادي,addr:city:ar=الــوادي
addr:city:de,Bozen,addr:city:de=Bozen
addr:city:en,10th of Rammadan City,addr:city:en=10th of Rammadan City
addr:city:it,Bolzano,addr:city:it=Bolzano
addr:city:simc,918123,addr:city:simc=0918123
addr:city,'s-Gravenhage,addr:city='s-Gravenhage
addr:community,Nima,addr:community=Nima
addr:conscriptionnumber,1,addr:conscriptionnumber=1
addr:country,AE,addr:country=AE
addr:county,Stafford County,addr:county=Stafford County
addr:county,Washington,addr:county=Washington
addr:county,Washoe,addr:county=Washoe
addr:district:en,Al Agouza,addr:district:en=Al Agouza
addr:district,26 de Octubre,addr:district=26 de Octubre
addr:district,龜山區,addr:district=龜山區
addr:division,Kawempe,addr:division=Kawempe
addr:division,Rajshahi,addr:division=Rajshahi
addr:flats,1-2,addr:flats=1-2
addr:flats,1-20,addr:flats=1-20
addr:flats,1-3,addr:flats=1-3
addr:flats,1-4,addr:flats=1-4
addr:flats,A;B,addr:flats=A;B
addr:floor,0,addr:floor=0
addr:hamlet,三和里,addr:hamlet=三和里
addr:housenumber,0,addr:housenumber=0
addr:inclusion,actual,addr:inclusion=actual
addr:inclusion,estimate,addr:inclusion=estimate
addr:inclusion,potential,addr:inclusion=potential
addr:interpolation,all,addr:interpolation=all
addr:interpolation,even,addr:interpolation=even
addr:interpolation,odd,addr:interpolation=odd
addr:municipality,Aabenraa,addr:municipality=Aabenraa
addr:neighbourhood,1,addr:neighbourhood=1
addr:place:en,Area A,addr:place:en=Area A
addr:place,المجاورة 1,addr:place=المجاورة 1
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:source=Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana"
addr:postcode,05-092,addr:postcode=05-092
addr:postcode,100,addr:postcode=100
addr:province:en,Al Beheira,addr:province:en=Al Beheira
addr:province,AB,addr:province=AB
addr:region,Farg'ona Viloyati,addr:region=Farg'ona Viloyati
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:source=Gatineau.ca/donneesouvertes 08Aug2015
addr:source,NRW-Atlas,addr:source=NRW-Atlas
addr:state,AK,addr:state=AK
addr:street:en,Omar Ibn Al Khatab Street,addr:street:en=Omar Ibn Al Khatab Street
addr:street:en,Street 1,addr:street:en=Street 1
addr:street:en,Street 2,addr:street:en=Street 2
addr:street:en,Street 3,addr:street:en=Street 3
addr:street:prefix,East,addr:street:prefix=East
addr:street:prefix,North,addr:street:prefix=North
addr:street:prefix,South,addr:street:prefix=South
addr:street:prefix,West,addr:street:prefix=West
addr:street:sym_ul,10898,addr:street:sym_ul=10898
addr:street:sym_ul,21970,addr:street:sym_ul=21970
addr:street:type,Avenue,addr:street:type=Avenue
addr:street:type,Place,addr:street:type=Place
addr:street:type,Street,addr:street:type=Street
addr:street,1 Maja,addr:street=1 Maja
addr:street,民生路,addr:street=民生路
addr:streetnumber,1,addr:streetnumber=1
addr:streetnumber,10,addr:streetnumber=10
addr:subdistrict:en,Al Agamy,addr:subdistrict:en=Al Agamy
addr:subdistrict,Olaines pagasts,addr:subdistrict=Olaines pagasts
addr:suburb,Centro,addr:suburb=Centro
addr:TW:dataset,120044,addr:TW:dataset=120044
addr:TW:dataset,137998,addr:TW:dataset=137998
addr:unit,1,addr:unit=1
addr:unit,A,addr:unit=A
addr:village,Gumare,addr:village=Gumare
addr:ward,Mbagala,addr:ward=Mbagala
addr:ward,Mbagala kuu,addr:ward=Mbagala kuu
admin_level,2,admin_level=2
admin_type:PH,barangay,admin_type:PH=barangay
advertising,billboard,advertising=billboard
advertising,board,advertising=board
advertising,column,advertising=column
advertising,poster_box,advertising=poster_box
advertising,totem,advertising=totem
aerialway,pylon,aerialway=pylon
aerialway,station,aerialway=station
aeroway,aerodrome,aeroway=aerodrome
aeroway,apron,aeroway=apron
aeroway,gate,aeroway=gate
aeroway,hangar,aeroway=hangar
aeroway,helipad,aeroway=helipad
aeroway,holding_position,aeroway=holding_position
aeroway,jet_bridge,aeroway=jet_bridge
aeroway,navigationaid,aeroway=navigationaid
aeroway,parking_position,aeroway=parking_position
aeroway,runway,aeroway=runway
aeroway,taxilane,aeroway=taxilane
aeroway,taxiway,aeroway=taxiway
aeroway,terminal,aeroway=terminal
age,mature,age=mature
age,semi-mature,age=semi-mature
age,young,age=young
agricultural,no,agricultural=no
air_conditioning,no,air_conditioning=no
allotments,plot,allotments=plot
alt_name,Kentucky Fried Chicken,alt_name=Kentucky Fried Chicken
amenity,animal_breeding,amenity=animal_breeding
amenity,arts_centre,amenity=arts_centre
amenity,atm,amenity=atm
amenity,bank,amenity=bank
amenity,bar,amenity=bar
amenity,bbq,amenity=bbq
amenity,bench,amenity=bench
amenity,bicycle_parking,amenity=bicycle_parking
amenity,bicycle_rental,amenity=bicycle_rental
amenity,bicycle_repair_station,amenity=bicycle_repair_station
amenity,biergarten,amenity=biergarten
amenity,bureau_de_change,amenity=bureau_de_change
amenity,bus_station,amenity=bus_station
amenity,cafe,amenity=cafe
amenity,car_rental,amenity=car_rental
amenity,car_sharing,amenity=car_sharing
amenity,car_wash,amenity=car_wash
amenity,charging_station,amenity=charging_station
amenity,childcare,amenity=childcare
amenity,cinema,amenity=cinema
amenity,clinic,amenity=clinic
amenity,clock,amenity=clock
amenity,college,amenity=college
amenity,community_centre,amenity=community_centre
amenity,compressed_air,amenity=compressed_air
amenity,courthouse,amenity=courthouse
amenity,dentist,amenity=dentist
amenity,doctors,amenity=doctors
amenity,drinking_water,amenity=drinking_water
amenity,driving_school,amenity=driving_school
amenity,events_venue,amenity=events_venue
amenity,fast_food,amenity=fast_food
amenity,ferry_terminal,amenity=ferry_terminal
amenity,fire_station,amenity=fire_station
amenity,food_court,amenity=food_court
amenity,fountain,amenity=fountain
amenity,fuel,amenity=fuel
amenity,grave_yard,amenity=grave_yard
amenity,grit_bin,amenity=grit_bin
amenity,hospital,amenity=hospital
amenity,hunting_stand,amenity=hunting_stand
amenity,ice_cream,amenity=ice_cream
amenity,internet_cafe,amenity=internet_cafe
amenity,kindergarten,amenity=kindergarten
amenity,lavoir,amenity=lavoir
amenity,letter_box,amenity=letter_box
amenity,library,amenity=library
amenity,loading_dock,amenity=loading_dock
amenity,lounger,amenity=lounger
amenity,marketplace,amenity=marketplace
amenity,mobile_money_agent,amenity=mobile_money_agent
amenity,monastery,amenity=monastery
amenity,motorcycle_parking,amenity=motorcycle_parking
amenity,music_school,amenity=music_school
amenity,nightclub,amenity=nightclub
amenity,nursing_home,amenity=nursing_home
amenity,parcel_locker,amenity=parcel_locker
amenity,parking,amenity=parking
amenity,parking_entrance,amenity=parking_entrance
amenity,parking_space,amenity=parking_space
amenity,payment_terminal,amenity=payment_terminal
amenity,pharmacy,amenity=pharmacy
amenity,place_of_worship,amenity=place_of_worship
amenity,police,amenity=police
amenity,post_box,amenity=post_box
amenity,post_office,amenity=post_office
amenity,prep_school,amenity=prep_school
amenity,prison,amenity=prison
amenity,pub,amenity=pub
amenity,public_bath,amenity=public_bath
amenity,public_bookcase,amenity=public_bookcase
amenity,public_building,amenity=public_building
amenity,recycling,amenity=recycling
amenity,restaurant,amenity=restaurant
amenity,sanitary_dump_station,amenity=sanitary_dump_station
amenity,school,amenity=school
amenity,shelter,amenity=shelter
amenity,shower,amenity=shower
amenity,social_centre,amenity=social_centre
amenity,social_facility,amenity=social_facility
amenity,studio,amenity=studio
amenity,taxi,amenity=taxi
amenity,telephone,amenity=telephone
amenity,theatre,amenity=theatre
amenity,ticket_validator,amenity=ticket_validator
amenity,toilets,amenity=toilets
amenity,townhall,amenity=townhall
amenity,trolley_bay,amenity=trolley_bay
amenity,university,amenity=university
