key,value,definition
road_marking,no,Straßenmarkierung=nein
road_marking,yes,Straßenmarkierung=ja
bulk_purchase,yes,Großabnahme=ja
abandoned,yes,Verlassen=ja
abandoned:building,yes,Verlassenes Gebäude=ja
access,no,Zugang=nein
access,yes,Zugang=ja
internet_access,no,Internetzugang=nein
internet_access,yes,Internetzugang=ja
access:roof,no,Zugang Dach=nein
access:delivery,no,Zugang Lieferung=nein
managed,no,Verwaltet=nein
managed,yes,Verwaltet=ja
agricultural,no,Landwirtschaftlich=nein
agricultural,yes,Landwirtschaftlich=ja
water,yes,Wasser=ja
drinking_water,no,Trinkwasser=nein
drinking_water,yes,Trinkwasser=ja
segregated,no,Getrennt=nein
segregated,yes,Getrennt=ja s
compressed_air,yes,Druckluft=ja
air_conditioning,yes,Klimaanlage=ja
highspeed,no,Hochgeschwindigkeit=nein
highspeed,yes,Hochgeschwindigkeit=ja
mooring,yes,Anlegestelle=ja
embassy,yes,Botschaft=ja
bottle,yes,Flasche=ja
oneway:bus,no,Einbahnstraße:Bus=nein
oneway:bicycle,no,Einbahnstraße:Fahrrad=nein
oneway:bicycle,yes,Einbahnstraße:Fahrrad=ja
oneway:motorcycle,no,Einbahnstraße:Motorrad=nein
animated,no,animiert=nein
anthropogenic,yes,anthropogen=ja
trees,yes,Bäume=ja
area,no,Fläche=nein
area,yes,Fläche=ja
razed:building,yes,abgerissen:Gebäude=ja
craft,yes,Kunsthandwerk=ja
man_made,yes,künstlich_gemacht=ja
artist:unknown,yes,Künstler:unbekannt=ja
authentication:membership_card,yes,Authentifizierung:Mitglied Mitgliedsausweis=ja
car,no,Auto=nein
car,yes,Auto=ja
bus,no,Bus=nein
bus,yes,Bus=ja
automated,yes,automatisiert=ja
motorcar,no,Pkw=nein
motorcar,yes,Pkw=ja
expressway,no,Schnellstraße=nein
highway,no,Landstraße=nein
highway,yes,Landstraße=ja
expressway,yes,Schnellstraße=ja
authoritative,yes,autoritativ=ja
self_service,no,Selbstbedienung=nein
