key,value,definition
lamp:tilt,-90,lamp:tilt=-90
light:tilt,-90,light:tilt=-90
elevation,-3,elevation=-3
layer,-3,layer=-3
level,-3,level=-3
layer,-2,layer=-2
level,-2,level=-2
class:bicycle,-1,class:bicycle=-1
cycleway:left:oneway,-1,cycleway:left:oneway=-1
layer,-1,layer=-1
level,-1,level=-1
oneway,-1,oneway=-1
osmarender:nameDirection,-1,
addr:floor,0,addr:floor=0
addr:housenumber,0,addr:housenumber=0
building:flats,0,building:flats=0
building:levels,0,building:levels=0
building:levels:underground,0,building:levels:underground=0
building:min_level,0,building:min_level=0
capacity:disabled,0,capacity:disabled=0
depth,0,depth=0
direction,0,direction=0
ele,0,ele=0
frequency,0,frequency=0
gtfs_location_type,0,gtfs_location_type=0
height,0,height=0
isced:level,0,isced:level=0
it:fvg:ctrn:revision,0,it:fvg:ctrn:revision=000
layer,0,layer=0
level,0,level=0
level:ref,0,level:ref=0
massgis:DCAM_ID,0,massgis:DCAM_ID=0
massgis:EOEAINVOLV,0,massgis:EOEAINVOLV=0
massgis:FY_FUNDING,0,massgis:FY_FUNDING=0
massgis:OS_DEED_BO,0,massgis:OS_DEED_BO=0
massgis:OS_DEED_PA,0,massgis:OS_DEED_PA=0
massgis:PALIS_ID,0,massgis:PALIS_ID=0
metcouncil:sun_trips,0,metcouncil:sun_trips=0
mtb:scale,0,mtb:scale=0
mtb:scale:imba,0,mtb:scale:imba=0
mtb:scale:uphill,0,mtb:scale:uphill=0
order,0,order=0
population,0,population=0
rednap:grupo,0,
roof:levels,0,roof:levels=0
KSJ2:DFC,1,KSJ2:DFC=1
KSJ2:PRC,1,KSJ2:PRC=01
addr:block_number,1,addr:block_number=1
addr:conscriptionnumber,1,addr:conscriptionnumber=1
addr:neighbourhood,1,addr:neighbourhood=1
addr:streetnumber,1,addr:streetnumber=1
addr:unit,1,addr:unit=1
admin_level,1,
building:foundation_height,1,building:foundation_height=1
building:levels,1,building:levels=1
building:levels:underground,1,building:levels:underground=1
building:min_level,1,building:min_level=1
building:ruian:type,1,building:ruian:type=1
building:units,1,building:units=1
cables,1,cables=1
capacity,1,capacity=1
capacity:disabled,1,capacity:disabled=1
circuits,1,circuits=1
class:bicycle,1,class:bicycle=1
class:bicycle:mtb,1,class:bicycle:mtb=1
couplings,1,couplings=1
devices,1,devices=1
diameter_crown,1,diameter_crown=1
door:wings,1,door:wings=1
heritage,1,
highway:category:pl,1,highway:category:pl=1
hoops,1,hoops=1
isced:level,1,isced:level=1
lamp:count,1,lamp:count=1
lamp_flames,1,
lanes,1,lanes=1
lanes:backward,1,lanes:backward=1
lanes:both_ways,1,lanes:both_ways=1
lanes:bus,1,lanes:bus=1
lanes:forward,1,lanes:forward=1
lanes:psv,1,lanes:psv=1
layer,1,layer=1
level,1,level=1
level:ref,1,level:ref=1
levels,1,levels=1
light:count,1,light:count=1
local_ref,1,local_ref=1
maxspeed,1,
mtb:scale,1,mtb:scale=1
mtb:scale:imba,1,mtb:scale:imba=1
mtb:scale:uphill,1,mtb:scale:uphill=1
name,1,name=1
oneway,1,
osmarender:nameDirection,1,
passenger_lines,1,passenger_lines=1
phases,1,phases=1
public_transport:version,1,public_transport:version=1
railway:etcs,1,railway:etcs=1
railway:track_ref,1,railway:track_ref=1
ref,1,ref=1
ref:drain_zone,1,ref:drain_zone=1
roof:height,1,roof:height=1
roof:levels,1,roof:levels=1
seats,1,seats=1
sides,1,sides=1
socket:chademo,1,socket:chademo=1
socket:type2,1,socket:type2=1
socket:type2_combo,1,socket:type2_combo=1
step_count,1,step_count=1
teryt:rm,1,teryt:rm=01
toilets:num_chambers,1,toilets:num_chambers=1
traces,1,traces=1
tracks,1,tracks=1
width,1,width=1
NHD:RESOLUTION,2,NHD:RESOLUTION=2
addr:block_number,2,addr:block_number=2
admin_level,2,admin_level=2
building:levels:underground,2,building:levels:underground=2
building:min_level,2,building:min_level=2
cables,2,cables=2
capacity:disabled,2,capacity:disabled=2
circuits,2,circuits=2
class:bicycle,2,class:bicycle=2
construction:railway:etcs,2,construction:railway:etcs=2
couplings,2,couplings=2
diameter_crown,2,diameter_crown=2
heritage,2,heritage=2
highway:category:pl,2,highway:category:pl=2
hoops,2,hoops=2
isced:level,2,isced:level=2
lanes,2,lanes=2
lanes:backward,2,lanes:backward=2
lanes:forward,2,lanes:forward=2
layer,2,layer=2
level,2,level=2
level:ref,2,level:ref=2
light:count,2,light:count=2
local_ref,2,local_ref=2
maxheight,2,maxheight=2
mtb:scale,2,mtb:scale=2
mtb:scale:imba,2,mtb:scale:imba=2
mtb:scale:uphill,2,mtb:scale:uphill=2
passenger_lines,2,passenger_lines=2
protect_class,2,
public_transport:version,2,public_transport:version=2
railway:ctcs,2,railway:ctcs=2
railway:etcs,2,railway:etcs=2
railway:track_ref,2,railway:track_ref=2
roof:height,2,roof:height=2
roof:levels,2,roof:levels=2
seats,2,seats=2
sides,2,sides=2
socket:type2,2,socket:type2=2
step_count,2,step_count=2
tracks,2,tracks=2
yh:WIDTH_RANK,2,yh:WIDTH_RANK=2
addr:block_number,3,addr:block_number=3
building:levels:underground,3,building:levels:underground=3
cables,3,cables=3
capacity:disabled,3,capacity:disabled=3
couplings,3,couplings=3
diameter_crown,3,diameter_crown=3
expected_lwn_route_relations,3,expected_lwn_route_relations=3
expected_rcn_route_relations,3,expected_rcn_route_relations=3
expected_rwn_route_relations,3,expected_rwn_route_relations=3
heritage,3,heritage=3
