key,value,definition
4wd_only,yes,4wd_only=yes
abandoned:building,yes,abandoned:building=yes
abandoned,yes,abandoned=yes
access:delivery,no,access:delivery=no
access:roof,no,access:roof=no
access,no,access=no
access,yes,access=yes
addr:contact,yes,addr:contact=yes
addr:nostreet,yes,addr:nostreet=yes
agricultural,no,agricultural=no
agricultural,yes,agricultural=yes
air_conditioning,no,air_conditioning=no
air_conditioning,yes,air_conditioning=yes
animated,no,animated=no
area:highway,yes,area:highway=yes
area,no,area=no
area,yes,area=yes
armrest,no,armrest=no
armrest,yes,armrest=yes
atm,yes,atm=yes
authentication:app,yes,authentication:app=yes
authentication:contactless,yes,authentication:contactless=yes
authentication:membership_card,yes,authentication:membership_card=yes
authoritative,yes,authoritative=yes
automated,no,automated=no
automated,yes,automated=yes
backcountry,yes,backcountry=yes
backrest,no,backrest=no
backrest,yes,backrest=yes
backup_generator,no,backup_generator=no
bar,yes,bar=yes
barrier:keypad,yes,barrier:keypad=yes
barrier,yes,barrier=yes
bdouble,yes,bdouble=yes
bench,no,bench=no
bench,yes,bench=yes
bicycle_road,yes,bicycle_road=yes
bicycle,no,bicycle=no
bicycle,yes,bicycle=yes
bin,no,bin=no
bin,yes,bin=yes
boat,no,boat=no
boat,yes,boat=yes
bottle,yes,bottle=yes
bridge,yes,bridge=yes
building:fireproof,no,building:fireproof=no
building:fireproof,yes,building:fireproof=yes
building:part,yes,building:part=yes
building:prefabricated,yes,building:prefabricated=yes
building:use:parking,yes,building:use:parking=yes
building:use:residential,yes,building:use:residential=yes
building,no,building=no
building,yes,building=yes
bus,no,bus=no
bus,yes,bus=yes
button_operated,no,button_operated=no
button_operated,yes,button_operated=yes
canoe,no,canoe=no
canoe,yes,canoe=yes
capacity:disabled,no,capacity:disabled=no
capacity:disabled,yes,capacity:disabled=yes
capacity:parent,no,capacity:parent=no
capacity:women,no,capacity:women=no
caravans,no,caravans=no
caravans,yes,caravans=yes
carriage,no,carriage=no
cash_in,no,cash_in=no
cash_in,yes,cash_in=yes
centre_turn_lane,yes,centre_turn_lane=yes
change:backward,no,change:backward=no
change:forward,no,change:forward=no
change:lanes:backward,no,change:lanes:backward=no
change:lanes:forward,no,change:lanes:forward=no
changing_table,no,changing_table=no
changing_table,yes,changing_table=yes
club,yes,club=yes
communication:lte,yes,communication:lte=yes
communication:microwave,yes,communication:microwave=yes
communication:mobile_phone,yes,communication:mobile_phone=yes
communication:radio,yes,communication:radio=yes
complete,yes,complete=yes
compressed_air,yes,compressed_air=yes
construction,yes,construction=yes
conveying,yes,conveying=yes
cosmha,yes,cosmha=yes
covered,no,covered=no
covered,yes,covered=yes
crossing:barrier,no,crossing:barrier=no
crossing:bell,no,crossing:bell=no
crossing:bell,yes,crossing:bell=yes
crossing:island,no,crossing:island=no
crossing:island,yes,crossing:island=yes
crossing:light,no,crossing:light=no
crossing:light,yes,crossing:light=yes
crossing:markings,no,crossing:markings=no
crossing:markings,yes,crossing:markings=yes
crossing:saltire,yes,crossing:saltire=yes
crossing:signals,no,crossing:signals=no
crossing:signals,yes,crossing:signals=yes
crossing,no,crossing=no
currency:EUR,yes,currency:EUR=yes
currency:USD,yes,currency:USD=yes
currency:XBT,yes,currency:XBT=yes
cutting,yes,cutting=yes
cyclestreet,yes,cyclestreet=yes
cycleway:both:buffer,no,cycleway:both:buffer=no
cycleway:both,no,cycleway:both=no
cycleway:left:oneway,no,cycleway:left:oneway=no
cycleway:left,no,cycleway:left=no
cycleway:right:buffer,no,cycleway:right:buffer=no
cycleway:right:buffer,yes,cycleway:right:buffer=yes
cycleway:right:oneway,no,cycleway:right:oneway=no
cycleway:right:oneway,yes,cycleway:right:oneway=yes
cycleway:right:segregated,no,cycleway:right:segregated=no
cycleway:right,no,cycleway:right=no
cycleway,no,cycleway=no
delivery,no,delivery=no
delivery,yes,delivery=yes
demolished:building,yes,demolished:building=yes
departures_board,no,departures_board=no
departures_board,yes,departures_board=yes
design:incomplete,yes,design:incomplete=yes
destroyed:building,yes,destroyed:building=yes
dibavod:needs:review,yes,dibavod:needs:review=yes
diet:halal,no,diet:halal=no
diet:halal,yes,diet:halal=yes
diet:kosher,no,diet:kosher=no
diet:vegan,no,diet:vegan=no
diet:vegan,yes,diet:vegan=yes
diet:vegetarian,yes,diet:vegetarian=yes
dispensing,yes,dispensing=yes
disused:shop,yes,disused:shop=yes
disused,yes,disused=yes
dog,no,dog=no
dog,yes,dog=yes
door,no,door=no
door,yes,door=yes
drinking_water,no,drinking_water=no
drinking_water,yes,drinking_water=yes
drive_through,no,drive_through=no
drive_through,yes,drive_through=yes
dual_carriageway,yes,dual_carriageway=yes
electrified,no,electrified=no
embankment,yes,embankment=yes
emergency,no,emergency=no
emergency,yes,emergency=yes
entrance,yes,entrance=yes
ephemeral,yes,ephemeral=yes
exit,yes,exit=yes
expressway,no,expressway=no
expressway,yes,expressway=yes
fdot:sis,yes,fdot:sis=yes
fee,no,fee=no
fee,yes,fee=yes
female,no,female=no
female,yes,female=yes
ferry,yes,ferry=yes
fire_hydrant:diameter:signed,no,fire_hydrant:diameter:signed=no
fire_hydrant:pressure,yes,fire_hydrant:pressure=yes
fireplace,yes,fireplace=yes
fixme,yes,fixme=yes
flashing_lights,no,flashing_lights=no
floating,no,floating=no
floating,yes,floating=yes
flood_prone,no,flood_prone=no
flood_prone,yes,flood_prone=yes
flour_fortified,no,flour_fortified=no
FMMP_modified,no,FMMP_modified=no
FMMP_reviewed,no,FMMP_reviewed=no
foot,no,foot=no
foot,yes,foot=yes
ford,yes,ford=yes
