key,value,definition
*-tip/pista,guagua,ALERTA:Si quieres buscar guagua usa bus
4wd_only,recommended,Solo 4x4=recomendable
abandoned:amenity,prison,abandonado: amenidad/servicio	=	prisión
abandoned:amenity,prison_camp,abandonado: amenidad/servicio	=	campo de prisioneros
abandoned:highway,path,abandonado:ruta=de carretera
abandoned:highway,track,abandonado:carretera	=	pista
abandoned:landuse,landfill,abandonado: uso de la tierra	=	vertedero
abandoned:landuse,quarry,abandonado: uso de la tierra	=	cantera
abandoned:man_made,petroleum_well,abandonado:hecho por el hombre	=	pozo_de_petroleo
abandoned:man_made,pipeline,abandonada:hombre_la=tubería hecha
abandoned:place,hamlet,abandonada:acceso=de
abandoned:railway,rail,abandonado:ferrocarril	=	carril
abandoned:railway,station,abandonado:ferrocarril	=	estación
abutters,industrial,colinda con	=	industrial
abutters,mixed,colinda con	=	mezclado
abutters,residential,colinda con	=	Residencial
abutters,retail,colinda con	=	venta minorista
access,agricultural,acceso	=	agrícola
access,bdouble,acceso	=	bdoble
access,customers,acceso	=	clientes
access,delivery,acceso	=	entrega
access,designated,acceso	=	designado
access,destination,acceso	=	destino
access,discouraged,acceso	=	desanimado
access,dismount,acceso	=	desmontar
access,employees,acceso	=	empleados
access,exclusion_zone,acceso	=	Zona de exclusión
access,forestry,acceso	=	silvicultura
access,licence,acceso	=	licencia
access,license,acceso	=	licencia
access,military,villorio del sitio=control
access,no,acceso	=	no
access,official,acceso	=	oficial
access,permissive,acceso	=	permisivo
access,permit,acceso	=	permiso
access,private,acceso	=	privado
access,public,acceso	=	público
access,residents,acceso	=	residentes
access,restricted,acceso	=	restringido
access,students,acceso	=	estudiantes
access,unknown,acceso	=	desconocido
access,use_sidepath,acceso	=	usar camino lateral
access,variable,acceso	=	variable
access_control,full,de_acceso militar=control
access_control,partial,de_acceso lleno=parcial
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,acceso:ciudadanía	=	двухбуквенный код страны по ISO-3166-1
access:delivery,no,acceso:entrega	=	no
access:roof,no,acceso: techo	=	no
accuracy,10,precisión: metros	=	*
accuracy:meters,10,precisión: metros	=	*
actuator,electric_motor,solenoide	=	motor eléctrico
actuator,hydraulic_cylinder,solenoide	=	Cilindro hidráulico
actuator,manual,solenoide	=	manual
actuator,pneumatic_cylinder,solenoide	=	cilindro neumático
addr:block,*,dirección: bloque	=	*
addr:block_number,1,dirección:número_de_bloque	=	*
addr:block_number,2,addr:número_de bloque=2
addr:block_number,3,addr:número_de bloque=3
addr:block:en,Block 1,addr:bloque:en=Bloque 1
addr:block:en,Block_1,dirección:bloque:es	=	Bloque_1
addr:city,'s-Gravenhage,addr:la ciudad= es-Gravenhage
addr:city,*,dirección:ciudad	=	*
addr:city:ar,الــوادي,addr:ciudad:ar=الــوادي
addr:city:de,Bozen,addr:ciudad:de=Bozen
addr:city:en,10th of Rammadan City,addr:ciudad:en=10.º de Rammadan Ciudad
addr:city:en,October_Gardens_City,dirección:ciudad:es	=	Octubre_Jardines_Ciudad
addr:city:it,Bolzano,dirección:ciudad:it	=	Bolzano
addr:city:simc,918123,addr:ciudad:simc=918123
addr:community,Nima,dirección:comunidad	=	nima
addr:conscriptionnumber,1,addr:conscriptionnumber=1
addr:conscriptionnumber,9,dirección: número de conscripción	=	*
addr:country,*,dirección: país	=	*
addr:country,AE,addr:país=AE
addr:county,Stafford County,addr:condado=Stafford Condado
addr:county,Tuttlingen,dirección: condado	=	Tuttlingen
addr:county,Washington,addr:condado=Washington
addr:county,Washoe,addr:condado=Washoe
addr:district,*,dirección: distrito	=	*
addr:district,26 de Octubre,addr:distrito=26 de Octubre
addr:district,龜山區,addr:distrito=龜山區
addr:district:en,Al Agouza,addr:distrito:en=Al Agouza
addr:district:en,Western_Al_Omraneya,dirección:distrito:es	=	Occidental_Al_Omraneya
addr:division,Kawempe,dirección:división	=	Kawempe
addr:division,Rajshahi,addr:#reparto=Rajshahi
addr:flats,1-2,dirección: pisos	=	*
addr:flats,1-20,addr:pisos=1-20
addr:flats,1-3,addr:pisos=1-3
addr:flats,1-4,addr:pisos=1-4
addr:flats,A;B,addr:pisos=Un;B
addr:floor,0,addr:piso=0
addr:floor,Floor_1,dirección:piso	=	Piso_1
addr:floor,Floor_2,dirección:piso	=	Piso_2
addr:hamlet,*,dirección: aldea	=	*
addr:hamlet,三和里,addr:villorio=三和里
addr:housenumber,0,addr:housenumber=0
addr:inclusion,actual,dirección: inclusión	=	actual
addr:inclusion,estimate,dirección: inclusión	=	estimar
addr:inclusion,potential,dirección: inclusión	=	potencial
addr:interpolation,all,dirección:interpolación	=	todos
addr:interpolation,even,dirección:interpolación	=	incluso
addr:interpolation,odd,dirección:interpolación	=	extraño
addr:municipality,Aabenraa,addr:municipio=Aabenraa
addr:municipality,Vordingborg,dirección: municipio	=	Vordingborg
addr:neighbourhood,1,addr:barrio=1
addr:neighbourhood,*,dirección: barrio	=	*
addr:place,*,dirección:lugar	=	*
addr:place,المجاورة 1,addr:sitio=المجاورة 1
addr:place:en,Area A,addr:sitio:en=Área Un
addr:postcode,100,addr:postcode=100
addr:postcode,*,dirección: código postal	=	*
addr:postcode,05-092,addr:postcode=05-092
addr:postcode:source,*,dirección: código postal: fuente	=	*
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:Cita=de fuente de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana"
addr:province,*,dirección: provincia	=	*
addr:province,AB,addr:provincia=AB
addr:province:en,*,dirección:provincia:es	=	*
addr:province:en,Al Beheira,addr:provincia:en=Al Beheira
addr:region,*,dirección: región	=	*
addr:region,Farg'ona Viloyati,addr:región=Farg'ona Viloyati
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:fuente=Gatineau.ca/donneesouvertes 08Aug2015
addr:source,NRW-Atlas,addr:fuente=NRW-Atlas
addr:state,*,dirección: estado	=	*
addr:state,AK,addr:estatal=AK
addr:street,*,"nodo de dirección: nombre de la calle , avenida , rambla , paseo , bulevar , pasaje , callejón : nombre de la calle= *"
addr:street:en,Omar Ibn Al Khatab Street,addr:calle:en=Omar Ibn Al Khatab Calle
addr:street:en,Street 1,addr:calle:en=Calle 1
addr:street:en,Street 2,addr:calle:en=Calle 2
addr:street:en,Street 3,addr:calle:en=Calle 3
addr:street:prefix,East,addr:calle:Este=de prefijo
addr:street:prefix,North,addr:calle:el prefijo=Del norte
addr:street:prefix,South,addr:calle:el prefijo=Del sur
addr:street:prefix,West,addr:calle:el prefijo=Del oeste
addr:street:sym_ul,10898,addr:calle:sym_ul=10898
addr:street:sym_ul,21970,dirección:calle:sym_ul	=	*
addr:street:type,Avenue,dirección:calle:tipo	=	Avenida
addr:street:type,Place,addr:calle:Sitio=de tipo
addr:street:type,Street,addr:calle:Calle=de tipo
addr:streetnumber,1,addr:streetnumber=1
addr:streetnumber,9,dirección:número de calle	=	*
addr:streetnumber,10,addr:streetnumber=10
addr:subdistrict,*,dirección:subdistrito	=	*
addr:subdistrict,Olaines pagasts,addr:subdistrict=Olaines pagasts
addr:subdistrict:en,*,dir:subdistrito:es	=	*
addr:subdistrict:en,Al Agamy,addr:subdistrict:en=Al Agamy
addr:suburb,*,dirección:suburbio	=	*
addr:suburb,Centro,addr:suburbio=Centro
addr:town,*,dirección: ciudad	=	*
addr:TW:dataset,120044,addr:TW:dataset=120044
addr:TW:dataset,137998,dirección:TW:conjunto de datos	=	*
addr:type,water,dirección: tipo	=	agua
addr:unit,1,addr:unidad=1
addr:unit,*,dirección: unidad	=	*
addr:unit,A,addr:unidad=Un
addr:village,Gumare,dirección:pueblo	=	Gumaré
addr:ward,Mbagala,dirección: sala	=	Mbagala
addr:ward,Mbagala kuu,addr:ward=Mbagala kuu
addr:ward,Mbagala_kuu,dirección: sala	=	Mbagala_kuu
addr.source:housenumber,survey,addr.source:numero de casa	=	encuesta
addr.source:street,survey,dirección.fuente:calle	=	encuesta
admin_level,1,nivel de administrador	=	*
admin_level,2,admin_nivel=2
admin_level,aboriginal_land,nivel de administrador	=	tierra aborigen
admin_type:PH,barangay,admin_tipo:PH=barangay
advertising,billboard,publicidad	=	cartelera
advertising,board,publicidad	=	junta
advertising,column,publicidad	=	columna
advertising,flag,publicidad	=	bandera
advertising,funding_sign,publicidad	=	señal de financiación
advertising,poster_box,publicidad	=	poster_box
advertising,screen,publicidad	=	pantalla
advertising,sculpture,publicidad	=	escultura
advertising,sign,publicidad	=	signo
advertising,tarp,publicidad	=	lona
advertising,totem,publicidad	=	tótem
advertising,wall_painting,publicidad	=	pintura mural
aerialway,cable_car,vía aérea	=	Teleférico
aerialway,canopy,vía aérea	=	pabellón
aerialway,chair_lift,vía aérea	=	telesilla
aerialway,drag_lift,vía aérea	=	ascensor de arrastre
aerialway,gondola,vía aérea	=	góndola
aerialway,goods,vía aérea	=	bienes
aerialway,j-bar,vía aérea	=	j-barra
aerialway,magic_carpet,vía aérea	=	alfombra mágica
aerialway,mixed_lift,vía aérea	=	levantamiento mixto
aerialway,platter,vía aérea	=	plato
aerialway,pylon,vía aérea	=	pilón
aerialway,rope_tow,vía aérea	=	remolque de cuerda
aerialway,ropetow,vía aérea	=	remolque de cuerda
aerialway,station,vía aérea	=	estación
aerialway,t-bar,vía aérea	=	barra en T
aerialway,zip_line,vía aérea	=	tirolesa
aerialway:drag_lift,j-bar,vía aérea: elevador de arrastre	=	j-barra
aerialway:drag_lift,platter,vía aérea: elevador de arrastre	=	plato
aerialway:drag_lift,t-bar,vía aérea: elevador de arrastre	=	barra en T
aerodrome:type,airfield,aeródromo:tipo	=	aeródromo
aerodrome:type,gliding,aeródromo:tipo	=	deslizándose
aerodrome:type,international,aeródromo:tipo	=	internacional
aerodrome:type,military,aeródromo:tipo	=	militar
aerodrome:type,private,aeródromo:tipo	=	privado
aerodrome:type,regional,aeródromo:tipo	=	regional
aerospace:product,robot,aeroespacial: producto	=	robot
aerospace:product,rocket,aeroespacial: producto	=	cohete
aerospace:product,spacecraft_propulsion,aeroespacial: producto	=	propulsión de naves espaciales
aeroway,aerodrome,vía aérea	=	aeródromo
aeroway,aircraft_crossing,vía aérea	=	cruce de aviones
aeroway,airport,vía aérea	=	aeropuerto
aeroway,airstrip,vía aérea	=	pista de aterrizaje
aeroway,airtanker_base,vía aérea	=	base de avión cisterna
aeroway,apron,vía aérea	=	delantal
aeroway,arresting_gear,vía aérea	=	equipo de arresto
aeroway,fuel,vía aérea	=	combustible
aeroway,gate,vía aérea	=	portón
aeroway,gate/Archived_proposal,vía aérea	=	puerta/propuesta archivada
aeroway,hangar,vía aérea	=	hangar
aeroway,helipad,vía aérea	=	helipuerto
aeroway,heliport,vía aérea	=	helipuerto
aeroway,highway_strip,vía aérea	=	franja de carretera
aeroway,holding_position,vía aérea	=	holding_position
aeroway,holding_position_line,vía aérea	=	línea de posición de espera
aeroway,jet_bridge,vía aérea	=	puente de chorro
