agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
34,Soler i Sauret,http://www.ambmobilitat.cat,Europe/Madrid,ca,936325133
37,DIREXIS TGO,http://www.ambmobilitat.cat,Europe/Madrid,ca,937780088
44,DIREXIS TUSGSAL,http://www.ambmobilitat.cat,Europe/Madrid,ca,900909061
56,Avanza,http://www.ambmobilitat.cat,Europe/Madrid,ca,
62,Monbus i Julià,http://www.ambmobilitat.cat,Europe/Madrid,ca,
69,Moventis,http://www.ambmobilitat.cat,Europe/Madrid,ca,
71,Monbus (Papiol),http://www.ambmobilitat.cat,Europe/Madrid,ca,
72,Monbus (Aerobús),http://www.ambmobilitat.cat,Europe/Madrid,ca,
73,Monbus (Horta),http://www.ambmobilitat.cat,Europe/Madrid,ca,
74,Moventis (Port),http://www.ambmobilitat.cat,Europe/Madrid,ca,
