service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
128.793.8,1,1,1,1,1,0,0,20251119,20261231
128.1558.8,0,0,0,0,0,0,0,20251119,20261231
128.314.8,0,0,0,0,0,0,1,20251119,20261231
128.494.8,0,0,0,0,0,1,0,20251119,20261231
129.793.17,1,1,1,1,1,0,0,20251124,20261231
129.1558.17,0,0,0,0,0,0,0,20251124,20261231
129.314.17,0,0,0,0,0,0,1,20251124,20261231
129.494.17,0,0,0,0,0,1,0,20251124,20261231
130.2231.5,1,1,1,1,1,1,1,20210714,20261231
130.2232.5,0,0,0,0,0,0,0,20210714,20261231
132.793.22,1,1,1,1,1,0,0,20241011,20261231
132.1558.22,0,0,0,0,0,0,0,20241011,20261231
132.314.22,0,0,0,0,0,0,1,20241011,20261231
132.494.22,0,0,0,0,0,1,0,20241011,20261231
139.1603.15,1,1,1,1,1,0,0,20230918,20261231
139.494.15,0,0,0,0,0,1,0,20230918,20261231
141.1603.33,1,1,1,1,1,0,0,20251223,20271231
141.314.33,0,0,0,0,0,0,1,20251223,20271231
141.494.33,0,0,0,0,0,1,0,20251223,20271231
142.793.32,1,1,1,1,1,0,0,20251003,20261231
142.1558.32,0,0,0,0,0,0,0,20251003,20261231
142.314.32,0,0,0,0,0,0,1,20251003,20261231
142.494.32,0,0,0,0,0,1,0,20251003,20261231
142.494.33,0,0,0,0,0,1,0,20251003,20261231
143.793.25,1,1,1,1,1,0,0,20251001,20261231
143.314.25,0,0,0,0,0,0,1,20251001,20261231
143.764.25,0,0,0,0,0,1,0,20251001,20261231
146.793.24,1,1,1,1,1,0,0,20250307,20261231
146.1558.24,0,0,0,0,0,0,0,20250307,20261231
146.314.24,0,0,0,0,0,0,1,20250307,20261231
146.494.24,0,0,0,0,0,1,0,20250307,20261231
156.1603.22,1,1,1,1,1,0,0,20251013,20261231
156.314.22,0,0,0,0,0,0,1,20251013,20261231
156.494.22,0,0,0,0,0,1,0,20251013,20261231
157.793.23,1,1,1,1,1,0,0,20260112,20260327
157.1558.23,0,0,0,0,0,0,0,20260112,20260327
157.934.23,0,0,0,0,0,0,0,20260112,20260327
