agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
42754,"Autocars Dotor, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42750,"NEXUS","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42751,"Enric Sirvent Faus","https://web.gencat.cat/ca/inici/",Europe/Madrid,,656541792,
42757,"PERE CORTINA BOCHACA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,669499199,
42753,"Ivan Pey Queró","https://web.gencat.cat/ca/inici/",Europe/Madrid,,637556251,
42758,"Regina Bernadó Vilana","https://web.gencat.cat/ca/inici/",Europe/Madrid,,609286899,
42533,"Serveis Turístics Delamoga, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42534,"Autocars LLadós-Montaña, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42535,"Josep Colom Prió","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42536,"Josep Lladós Callís","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42537,"Sergi Martínez Sánchez","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42538,"Daniel Herencia Juárez","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42539,"Serveis Turístics Llavorsitrans, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42540,"Marcos López Perona","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42541,"Jordi Cases Blasi","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42542,"Joan Bellera Bellera","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42543,"Joan Baldomà Noves","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42544,"Carlos Gómez Hinojosa","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42545,"Josep Maria Fabregat","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977860274,
42546,"Costa Amills, Llorenç","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42547,"Montferri Hermanos, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938010359,
42548,"Mohn, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,936580141,
42549,"Lluís Grau Gascón","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42550,"Joan Sirvent Faus","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42551,"Lluís Obiols Capdevila","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42552,"Autocars Franch, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42553,"Autocars Vidao, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42554,"Francesc X. García Yus","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42555,"Miguel Gamon, SL/Autobusos de Lleida, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42556,"UTE BAGES EXPRES","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42557,"Empresa Sagalés, SA i Empresa Casas, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42558,"Aget Extremadura SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935806700,
42559,"Agreda Automóvil SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,976229343,
42560,"Ajuntament de Móra d'Ebre","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977400012,
42561,"Autocars Aler, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42562,"Alsa Internacional SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42563,"Alsa Peninsular SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,985342711,
42564,"Altaba Ferrer, Delfí","https://web.gencat.cat/ca/inici/",Europe/Madrid,,964441042,
42565,"Josep M. Llop Masip","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42566,"Auto Transporte Parellada SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973275599,
42567,"Autocares A. García SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42568,"Autocares Capricornio SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42569,"Autocars del Penedès, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977660821,
42570,"Grup d'empreses: SA Alsina Graells AT, LHIFE ","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42571,"Autocars Carrera, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977823143,
42572,"Autocars Poch, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977660240,
42573,"Autocares Pons, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42574,"Autocares R. Font, SAU","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935801818,
42575,"Autocares Ribas SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938937511,
42576,"Autocares Sial SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,932322377,
42577,"Autocares Travé SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977604926,
42578,"Autocares Vi|olas, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972256617,
42579,"Sílvia Arbonés Cuadrat","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42580,"Autocars Calella, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42581,"Autocars Martí Pi, SA (AMPSA)","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972216353,
42582,"Autocares R. Font, SAU i Marfina Bus, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42583,"Autocars R. Mas, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935798090,
42584,"Autocars Rovira, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938895661,
42585,"Autocars Salvia SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973601910,
42586,"Autocars Segarra, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977550949,
42588,"Autocars Vendrell, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938922544,
42589,"Autocorb, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,936500735,
42590,"Automnibus Interurbanos SA AISA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,915304607,
42591,"Automóviles Bajo Aragón SA ABASA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,974830871,
42592,"Autos Castellbisbal, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,937720008,
42593,"Barcelona Bus, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935931300,
42594,"BarcelonaBus_Sarfa","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42595,"Botella Soret, Horaci","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42598,"CRA La Hispània, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935931300,
42599,"Camino Bus SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,3768,
42600,"Comasòlivas i Codina, Jordi","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938862614,
42601,"Compa|ía de Transportes Alto Aragonesa SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,974210700,
42602,"Cia. del Ferrocarril de Olot a Gerona, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972204868,
42603,"David i Manel SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972672853,
42604,"Empresa Lax SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973268500,
42605,"Empresa Sagalés, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935931300,
42606,"Enatcar","https://web.gencat.cat/ca/inici/",Europe/Madrid,,902422242,
42607,"Fernández Marín, Bibiano","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42608,"Ferrocarriles y Transportes, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935931300,
42609,"Ferrocarrils de la Generalitat de Catalunya","https://web.gencat.cat/ca/inici/",Europe/Madrid,,932051515,
42610,"Garage Segarra SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977240259,
42611,"La Hispano Andorrana SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,3768821372,
42612,"La Hispano Llacunense, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938912561,
42613,"Irbar, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,934911010,
42614,"Julià-Via Internacional","https://web.gencat.cat/ca/inici/",Europe/Madrid,,934904000,
42615,"Líneas Europeas de Autobuses LINEBUS","https://web.gencat.cat/ca/inici/",Europe/Madrid,,963401979,
42616,"Llaó Sabater, Rafael","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977490029,
42617,"Llorente Bus SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,913520709,
42618,"Martín Colomer, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,937951254,
42619,"Moliné Boneta, Carles","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973350293,
42620,"Morell Ibars, Isidre","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973736033,
42621,"Móra d'Ebre Bus, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42622,"Patronat Municipal de la Vall Fosca","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973663001,
42623,"Lluís Betriu Sabata","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42624,"RENFE","https://web.gencat.cat/ca/inici/",Europe/Madrid,,902240202,
42625,"Renfe I|igo SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,932319906,
42626,"Reus-Tarragona Bus, S.L","https://web.gencat.cat/ca/inici/",Europe/Madrid,,934882621,
42627,"Salvia Piulats, Claudi","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973601910,
42628,"SARFA SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972300262,
42629,"Sirvent Formenti, Antoni","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973515126,
42630,"SA Masats Transports Generals","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938031084,
42631,"Solé Pinyol, Antoni","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973128006,
42632,"Soler i Sauret, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,936325388,
42633,"Starbús","https://web.gencat.cat/ca/inici/",Europe/Madrid,,963496767,
42634,"Teresa y José Plana, Empresa Plana, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977211030,
42635,"Tibus, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,932449834,
42636,"Torres Pons SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973390118,
42637,"Transbages, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935798090,
42638,"Transportes Bacoma SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,902422242,
42639,"17 Bages Bus, SAU","https://www.sagales.com",Europe/Madrid,,935931300,
42640,"Transportes de Viajeros de Aragón, SA ARATESA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,902422242,
42596,"Bullich Grup Autotransport SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973190118,
42597,"Bus Tres SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977823812,
42641,"Transports Elèctrics Interurbans, SA -TEISA-","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972204868,
42642,"Transportes Generales de Olesa, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,937780088,
42643,"Transportes Interurbanos SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,936560701,
42644,"Transportes Monasterio SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938937511,
42645,"Transportes Periféricos SA  TRAPSA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,933182521,
42646,"Transportes Pujol y Pujol, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972364074,
42647,"Transports Mir, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972703012,
42648,"Transports Públics del Priorat i Doménech, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977830108,
42651,"Viacar SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,934900444,
42652,"Vigo-Barcelona, SA (VIBASA)","https://web.gencat.cat/ca/inici/",Europe/Madrid,,933396363,
42653,"Xampany SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973275599,
42654,"Zamorana de Transportes SA ZATRANS","https://web.gencat.cat/ca/inici/",Europe/Madrid,,988570185,
42655,"25 Osona Bus, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,935931300,
42656,"Joaquim Puigdemasa Obiols","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42657,"Móra d'Ebre Bus, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,977400012,
42658,"Estarriol Bus, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42659,"David i Manel, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972672853,
42660,"Cots Alsina, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973532127,
42661,"Luis Vidal Antolín","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42662,"Cintoi Bus, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,938937060,
42663,"Autocars Tarrés, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,,
42664,"Bullich Grup Autotransports, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973190118,
42665,"Autocars Solé Seró, SL","https://www.autocarssolesero.com/",Europe/Madrid,,973128006,
42666,"Autocars Salvia, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973282467,
42667,"Autocars del Pla, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973580556,
42668,"Autocares Julià, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,934026900,
42669,"Auto Transporte Parellada, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,973275599,
42670,"Ampurdan Bus, SL","https://web.gencat.cat/ca/inici/",Europe/Madrid,,972502383,
42671,"Empresa Casas, SA","https://web.gencat.cat/ca/inici/",Europe/Madrid,,937981100,
