route_id,trip_id,nota
"0580",1581379,"Parades a la demanda: Querol. Reserva prèvia al tlf. 977547290 amb 24 hores d'antelació"
"1705",1580296,"Servei a la demanda. Reserva prèvia al tlf. 938210485 abans de les 12.00h del dia anterior a la data del viatge o bé enviant un mail a bergapv1@alsa.es"
"1624",1580305,"."
"0420",1580517,"Excepte festes locals a Barcelona"
"0520",1596307,"També circula els festius escolars en període lectiu"
"0420",1597654,"Excepte festes locals a Barcelona"
"1836",1597874,"Servei a la demanda Clic.cat Gironès. Reserva prèvia al tlf. 972204868 de 8 a 20h o bé a través de la app Nemi amb 15 minuts de marge"
"0423",1598161,"Servei a la demanda. Reserva prèvia al tlf. 610477157 amb 24 hores d'antelació"
"1624",1598371,"."
"0504",1598381,"Servei a la demanda. Reserva prèvia al tlf. 630448299 amb 24 hores d'antelació"
"1624",1598426,"."
"0281",1596910,"Servei a la demanda. Reserva prèvia al tlf. 656804498 amb 24 hores d'antelació"
"0420",1600062,"A Valls es pot fer transbordament amb la línia Lleida-Torregrossa-Tarragona"
"1624",1600239,"."
"0972",1599789,"La parada Mollerussa (IES La Serra) només es farà els dies lectius del calendari escolar"
"1861",1598912,"Servei a la demanda"
"0056",1598993,"Expedició amb destinació Barcelona"
"0395",1599240,"A Ponts coordina amb el servei la Farga de Moles-Ponts-Barcelona."
"0420",1599286,"Excepte festes locals a Barcelona"
"1624",1599292,"."
"1624",1599332,"."
"0406",1605145,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1663",1605163,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1663",1605167,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1748",1605487,"Servei a la demanda. Reserva prèvia al tlf. 973532127 amb 24 hores d'antelació"
"0151",1604554,"Dies lectius de la UAB"
"1624",1603826,"."
"0664",1595419,"Mercat a l'Arboç"
"0815",1595915,"Expedicions a la demanda: Vilanova de Prades a Prades. Reserva prèvia al tlf. 977547290"
"0151",1594140,"Dies lectius de la UAB"
"1754",1605678,"Servei a la demanda. Reserva prèvia al tlf. 973532127 amb 24 hores d'antelació"
"0311",1605683,"Servei a la demanda. Reserva prèvia al tlf. 938662121 amb 24 hores d'antelació o bé a través de la app Sagalés on Demand"
"1748",1607381,"Servei a la demanda. Reserva prèvia al tlf. 973532127 amb 24 hores d'antelació"
"1829",1607559,"Servei a la demanda. Reserva prèvia al tlf. 900696566 amb 24 hores d'antelació o bé a través de la app TAD CAT"
"0399",1606734,"Expedició procedent de Balaguer. La parada Mollerussa (IES La Serra) només es farà els dies lectius del calendari escolar"
"1603",1602723,"Servei a la demanda. Reserva prèvia al tlf. 659288974 amb 24 hores d'antelació"
"1603",1602725,"Servei a la demanda. Reserva prèvia al tlf. 659288974 amb 24 hores d'antelació"
"0571",1603171,"Expedicions a la demanda: 1a sortida de Porrera a Torroja i última en sentit invers. Reserva prèvia al tlf. 977831871 fins a les 17.00h del dia anterior a la data del viatge"
"0661",1603245,"Expedicions a la demanda: Osor-Anglès. Reserva prèvia al tlf. 972204868 amb 24 hores d'antelació"
"1624",1601141,"."
"1624",1601143,"."
"1658",1601553,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0715",1582799,"Només dies d'obertura de Port Aventura"
"0223",1582817,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0056",1583208,"Expedició amb destinació Mollerussa"
"0641",1583443,"Servei a la demanda. Reserva prèvia al tlf. 900130014 amb 24 hores d'antelació o bé a través de la app Sagalés on Demand"
"0815",1583814,"Expedicions a la demanda: Vilanova de Prades a Prades. Reserva prèvia al tlf. 977547290"
"0815",1583815,"Expedicions a la demanda: Vilanova de Prades a Prades. Reserva prèvia al tlf. 977547290"
"0815",1583816,"Expedicions a la demanda: Vilanova de Prades a Prades. Reserva prèvia al tlf. 977547290"
"0407",1583826,"Expedicions a la demanda: Morera Montsant a Cornudella Montsant. Reserva prèvia al tlf. 977547290"
"0406",1588035,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0342",1588041,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0550",1588073,"Servei a la demanda. Reserva prèvia al tlf. 699913581 amb 24 hores d'antelació"
"1090",1589677,"Servei a la demanda. Reserva prèvia al tlf. 629742020 amb 24 hores d'antelació"
"1032",1593049,"Servei a la demanda. Reserva prèvia al tlf. 669753510 amb 24 hores d'antelació"
"0056",1586320,"Expedició procedent de Barcelona"
"0247",1590354,"Servei a la demanda. Reserva prèvia al tlf. 973532127 amb 24 hores d'antelació"
"1701",1590432,"Servei a la demanda. Reserva prèvia al tlf. 938210485 abans de les 12.00h del dia anterior a la data del viatge o bé enviant un mail a bergapv1@alsa.es"
"0715",1586555,"Només dies d'obertura de Port Aventura"
"0151",1584294,"Dies lectius de la UAB"
"0151",1584296,"Dies lectius de la UAB"
"1662",1588302,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1661",1586892,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1493",1584822,"Calendari universitari"
"0749",1584856,"Servei a la demanda. Reserva prèvia al tlf. 973620733 amb 24 hores d'antelació"
"0223",1588824,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0284",1588832,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0248",1585169,"Servei a la demanda. Reserva prèvia al tlf. 973532127 amb 24 hores d'antelació"
"0420",1587468,"Excepte festes locals a Barcelona"
"0776",1587655,"Servei a la demanda. Reserva prèvia al tlf. 629742020 amb 24 hores d'antelació"
"0317",1587658,"Servei a la demanda. Reserva prèvia al tlf. 973623035 amb 24 hores d'antelació"
"0290",1587660,"Servei a la demanda. Reserva prèvia al tlf. 973623035 amb 24 hores d'antelació"
"0193",1587668,"No es podrà fer ús d'aquest servei si no s'ha concertat prèviament"
"0609",1587728,"Servei a la demanda. Reserva prèvia al tlf. 629742020 amb 24 hores d'antelació"
"0843",1587747,"Servei a la demanda. Reserva prèvia al tlf. 630358376 amb 24 hores d'antelació"
"0853",1587755,"Servei a la demanda. Reserva prèvia al tlf. 629742020 amb 24 hores d'antelació"
"1659",1587812,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1659",1587814,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"1404",1592590,"Servei a la demanda. Reserva prèvia al tlf. 973620485 amb 24 hores d'antelació"
"0151",1592664,"Dies lectius de la UAB"
"0151",1592670,"Dies lectius de la UAB"
"0410",1589295,"Dies d'obertura de Port Aventura fins a les 22:00h"
"0151",1589336,"Dies lectius de la UAB"
"1546",1611668,"El servei s'efectuarà només els dies d'obertura del centre comercial la Roca Village"
"1546",1611672,"El servei s'efectuarà només els dies d'obertura del centre comercial la Roca Village"
"1546",1611677,"El servei s'efectuarà només els dies d'obertura del centre comercial la Roca Village"
"1624",1610345,"."
"1624",1610349,"."
"1624",1610360,"."
"1624",1610371,"."
"1624",1610383,"."
"1624",1610384,"."
"1624",1610404,"."
"0662",1610616,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0662",1610629,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0662",1610631,"Servei a la demanda. Reserva prèvia al tlf. 900696566 abans de les 17.00h del dia anterior a la data del viatge o bé a través de la app TAD CAT"
"0056",1608094,"Expedició procedent de Mollerussa"
"1838",1611031,"Servei a la demanda Clic.cat el Pla de l'Estany. Reserva prèvia al tlf. 972204868 de 8 a 20h o bé a través de la app Nemi amb 15 minuts de marge"
"1833",1608481,"Servei a la demanda. Reserva prèvia al tlf. 647670506 amb 24 hores d'antelació"
"1835",1610515,"Servei a la demanda Clic.cat Gironès. Reserva prèvia al tlf. 972204868 de 8 a 20h o bé a través de la app Nemi amb 15 minuts de marge"
"0891",1674222,"Servei a la demanda. Reserva prèvia al tlf. 900106848 abans de les 13.00h del dia anterior a la data del viatge"
"0900",1674240,"Dies lectius de la UAB"
"0900",1674242,"Dies lectius de la UAB"
"1200",1676424,"Dies lectius de la UAB"
"1810",1672843,"Servei a la demanda. Reserva prèvia al tlf. 938892577 fins a les 18.00h del dia anterior a la data del viatge o bé a través de la app Sagalés on Demand"
"1839",1672862,"Servei a la demanda Clic.cat el Pla de l'Estany. Reserva prèvia al tlf. 972204868 de 8 a 20h o bé a través de la app Nemi amb 15 minuts de marge"
"1821",1673151,"Dissabtes, diumenges i festius del 01/07 al 30/09"
"0256",1677023,"Expedició que forma part del Bus Exprés e6 Vilafranca-Barcelona"
"0165",1677094,"servei a la demanda, aquest servei no es prestar&#224; si no es demana abans de les 12.00 hores del dia feiner anterior mitjan&#231;ant l'aplicaci&#243; &#34;Cots Alsina clic.cat&#34;, per Whatsapp al 677 49 49 05, tot indicant la ruta, les parades d&#8217;origen i destinaci&#243;, el dia i l&#8217;hora, o b&#233; per tel&#232;fon trucant al 973 53 21 27.&#160;"
