route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"1081",42632,"L1081","(L63) Barcelona (F.Macià)-el Palau per autopista","",3,,,
"1590",42605,"L1590","(L1) TransGran: Can Gili - Hospital ","",3,,,
"1629",42569,"L1629","(e1) El Vendrell - Torredembarra - Tarragona","",3,,,
"1656",42674,"L1656","(B9) Can Barata-Sant Quirze del Vallès-Terrassa","",3,,,
"1177",42628,"L1177","(e6) Figueres - Roses","",3,,,
"1591",42605,"L1591","(L21) TransGran: Can Bassa - Bellavista","",3,,,
"1141",42628,"L1141","La Bisbal d'Empordà - Girona (estació d'autobusos)","",3,,,
"1592",42605,"L1592","(L22) TransGran: Can Bassa - Hospital","",3,,,
"1593",42605,"L1593","(L20) TransGran: Can Bassa - Bellavista","",3,,,
"1150",42628,"L1150","Vilartagas - l'Escala","",3,,,
"1147",42612,"L1147","Urbà de Sant Esteve Sesrovires","",3,,,
"1148",42628,"L1148","Palafrugell - Tamariu","",3,,,
"1149",42612,"L1149","(e18) Barcelona-Sant Sadurní d'Anoia-la Llacuna","",3,,,
"1594",42605,"L1594","(L3) TransGran: pl. Europa - Jutjats","",3,,,
"1659",42675,"L1659","L'Espunyola-Montclar-Casserres-Puig-reig (TAD)","",3,,,
"1616",42655,"L1616","(L2) Urbà de Vic: el Remei-Horta Vermella","",3,,,
"1617",42655,"L1617","(L3) Urbà de Vic: el Nadal-Hospital General","",3,,,
"1657",42725,"L1657","(e3) Tortosa - Amposta - La Ràpita - Les Cases - Alcanar","",3,,,
"1619",42674,"L1619","(PA) Estació FGC Bellaterra - Parc Alba","",3,,,
"1776",42605,"L1776","(A2) Urbà de Lliçà d'Amunt: la Serra","",3,,,
"1169",42628,"L1169","Palafrugell - Calella - Llafranc - Palafrugell","",3,,,
"1198",42628,"L1198","Figueres - Portbou","",3,,,
"1200",42655,"L1200","(412) Granollers-Parets del Vallès-Campus UAB","",3,,,
"1100",42632,"L1100","(L69) BCN(F.Macià)-Martorell autop. fins Pallejà","",3,,,
"1672",42569,"L1672","(L2) Hospital Vendrell-EA-Coma-ruga-Garrofers","",3,,,
"1660",42675,"L1660","Montclar - Casserres - Gironella (TAD)","",3,,,
"1675",42569,"L1675","(L1p) Eden-Oasi-Muntanyeta-Vendrell","",3,,,
"1677",42569,"L1677","(L4e) Mas Gual-Tancat-Botafoc-Nou Vendrell","",3,,,
"0248",42660,"L0248","Cervera - Santa Coloma de Queralt - Cervera","",3,,,
"1679",42569,"L1679","(L2p) Oasi-Muntanyeta-Centre-Nou Vendrell","",3,,,
"0282",42642,"L0282","(M3) Esparreguera - Olesa de Montserrat","",3,,,
"1681",42569,"L1681","(L3e) Coma-ruga-Sant Salvador","",3,,,
"0015",42605,"L0015","(690) Alella - el Masnou","",3,,,
"0684",42737,"L0684","(1361) Santa Susanna-Malgrat de Mar-Palafolls","",3,,,
"0256",42672,"L0256","Coma-ruga - el Vendrell - Barcelona","",3,,,
"1682",42569,"L1682","(L3p) Torreblanca-Masos-Francàs-St. Salvador","",3,,,
"1683",42671,"L1683","(806) Cabrils - Vilassar de Dalt - Barcelona","",3,,,
"1427",42574,"L1427","(685) Can Tiana - Ripollet - Montcada (CAP)","",3,,,
"0165",42660,"L0165","Sanaüja - Guissona","",3,,,
"0208",42641,"L0208","Camprodon - Barcelona","",3,,,
"0625",42673,"L0625","(C2) Sabadell - Terrassa - Martorell","",3,,,
"0623",42673,"L0623","(C3) Sabadell - Sant Llorenç Savall","",3,,,
"0242",42674,"L0242","(A6) Barcelona-Sant Cugat del Vallès per Rabassada","",3,,,
"1684",42675,"L1684","Cambrils - Odèn - Lladurs - Solsona (TAD)","",3,,,
"0210",42641,"L0210","Camprodon - Olot","",3,,,
"0062",42641,"L0062","Banyoles - Olot (per Mieres)","",3,,,
"0803",42641,"L0803","Olot - Figueres","",3,,,
"0330",42641,"L0330","Olot - Ripoll per Sant Joan de les Abadesses","",3,,,
"0326",42641,"L0326","(e1) Olot - Girona i Girona - Banyoles - Olot","",3,,,
"0775",42642,"L0775","(M5) Vacarisses - Terrassa","",3,,,
"0532",42642,"L0532","(M2) Urbà d'Olesa de Montserrat","",3,,,
"0153",42660,"L0153","Bellmunt-Sant Guim de Freixenet-Gàver-Cervera","",3,,,
"0273",42671,"L0273","(845)  C15 Teià _ El Masnou","",3,,,
"0626",42674,"L0626","(B6) Sabadell-Barberà del Vallès-Campus UAB","",3,,,
"0502",42671,"L0502","(865) Mataró - Campus UAB","",3,,,
"0077",42632,"L0077","(L61) Barcelona-Molins de Rei-Sant Boi de Llobregat","",3,,,
"0596",42634,"L0596","Reus - Vilaplana (urb. Portugal)","",3,,,
"0270",42634,"L0270","Tarragona-El Catllar prolongació La Riera de Gaià","",3,,,
"1610",42725,"L1610","(L1) Tortosa - Jesús - Roquetes","",3,,,
"0078",42632,"L0078","(L57) Barcelona (F.Macià) - Avinyonet del P.","",3,,,
"0075",42632,"L0075","(L50) Barcelona (Collblanc) - Avinyonet","",3,,,
"0602",42574,"L0602","(620) Ripollet - Barcelona per carretera","",3,,,
"0382",42672,"L0382","Igualada - Campus UAB","",3,,,
"0375",42672,"L0375","Tarroja de Segarra-Calaf-Jorba-Igualada","",3,,,
"0305",42641,"L0305","(C3Connect) Figueres - La Jonquera - El Voló","",3,,,
"0806",42655,"L0806","(410) Vic - Campus UAB (SC)","",3,,,
"0288",42675,"L0288","Esterri d'Àneu - Àger - Lleida","",3,,,
"0292",42675,"L0292","Eth Pònt de Rei - Lleida","",3,,,
"0170",42737,"L0170","Lloret de Mar - Tossa de Mar","",3,,,
"0025",42655,"L0025","(465) Alpens - Sant Quirze de Besora","",3,,,
"0024",42655,"L0024","(471 495) Alpens - Prats de Lluçanès","",3,,,
"0659",42710,"L0659","Sant Hilari Sacalm - Arbúcies - Girona","",3,,,
"0369",42672,"L0369","Icomar - Reus","",3,,,
"0431",42675,"L0431","Les Borges Blanques - Mollerussa","",3,,,
"0726",42634,"L0726","Tarragona-Punta Bic","",3,,,
"0597",42634,"L0597","Reus - Vila-rodona","",3,,,
"0019",42634,"L0019","Alforja - Salou","",3,,,
"0034",42634,"L0034","Arbolí - Alforja - Reus","",3,,,
"0398",42634,"L0398","La Granadella - Reus","",3,,,
"0745",42634,"L0745","Tivissa - Reus","",3,,,
"0595",42672,"L0595","Reus - Tarragona - la Farga de Moles","",3,,,
"0246",42660,"L0246","Cervera - l'Ametlla de Segarra - Cervera","",3,,,
"0247",42660,"L0247","Sant Guim de Freixent - Montpalau - Cervera","",3,,,
"0729",42675,"L0729","Tàrrega - Lleida","",3,,,
"0425",42674,"L0425","L'Albagés - Lleida","",3,,,
"0271",42674,"L0271","El Cogul - Lleida","",3,,,
"0079",42675,"L0079","Barcelona - Balaguer - Alfarràs","",3,,,
"0696",42675,"L0696","Solsona - Ponts - Lleida","",3,,,
"0254",42675,"L0254","Coll de Nargó - la Seu d'Urgell","",3,,,
"0570",42675,"L0570","Ponts - Manresa","",3,,,
"0415",42675,"L0415","La Pobla de Segur - Barcelona","",3,,,
"0576",42675,"L0576","Llívia-Puigcerdà-la Seu d'Urgell-Lleida","",3,,,
"0092",42675,"L0092","Barcelona - eth Pònt de Rei","",3,,,
"0020",42675,"L0020","Almatret - Maials - Lleida","",3,,,
"0184",42675,"L0184","Bovera - Lleida","",3,,,
"0011",42714,"L0011","Albesa - Lleida","",3,,,
"0056",42675,"L0056","Balaguer - Tàrrega","",3,,,
"0399",42675,"L0399","La Guàrdia - Lleida","",3,,,
"0732",42675,"L0732","Clic.cat - Tarrés - l'Espluga Calba - Les Borges Blanques","",3,,,
"0503",42675,"L0503","Menàrguens - Lleida","",3,,,
"0730",42713,"L0730","Tàrrega - Montornès de Segarra","",3,,,
"0667",42655,"L0667","(467) Sora - Sant Quirze de Besora","",3,,,
"0403",42655,"L0403","(468) Torelló - Sant Quirze de Besora - Ripoll","",3,,,
"0542",42641,"L0542","Olot - Barcelona per Amer","",3,,,
"0440",42581,"L0440","(e2) l'Estartit - Torroella de Montgrí - Girona","",3,,,
