route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0412,185487,1580876,,,1,,,
0367,184862,1580900,,,1,,,
0216,184814,1581218,,,1,,,
0580,184732,1581379,,,1,,,
0367,184862,1581398,,,0,,,
0367,184862,1581402,,,0,,,
0720,184732,1581410,,,1,,,
0442,184732,1581535,,,0,,,
0442,184735,1581537,,,0,,,
1765,184732,1581602,,,1,,,
0340,184994,1581733,,,1,,,
0354,185380,1581776,,,1,,,
0354,185380,1581793,,,1,,,
0649,185380,1581801,,,1,,,
0327,184732,1581806,,,0,,,
0327,184732,1581807,,,0,,,
0327,184732,1581808,,,1,,,
0354,185380,1581829,,,1,,,
0354,185380,1581831,,,1,,,
0354,185380,1581836,,,1,,,
0354,185380,1581837,,,1,,,
0354,185380,1581841,,,1,,,
0354,185380,1581850,,,1,,,
0354,185380,1581851,,,1,,,
0354,184771,1581859,,,0,,,
0354,184771,1581867,,,0,,,
0079,185467,1579905,,,1,,,
1705,185196,1580296,,,0,,,
1624,186050,1580305,,,0,,,
0787,184814,1580395,,,1,,,
0420,184994,1580517,,,1,,,
0326,184732,1580524,,,1,,,
0326,184732,1580534,,,1,,,
0326,184732,1580545,,,1,,,
0552,184732,1580595,,,0,,,
1283,185380,1596294,,,0,,,
0520,185222,1596307,,,0,,,
0420,184732,1596352,,,1,,,
1512,185086,1596373,,,1,,,
1512,184862,1596381,,,1,,,
1283,185380,1597583,,,0,,,
0597,184929,1597606,,,0,,,
0420,185380,1597654,,,0,,,
0420,184732,1597655,,,0,,,
0720,184749,1597760,,,1,,,
0720,184732,1597761,,,0,,,
1836,184732,1597874,,,0,,,
0377,184735,1597889,,,0,,,
0210,184732,1597930,,,1,,,
0380,185628,1597975,,,1,,,
0050,185380,1597989,,,1,,,
0050,185380,1598025,,,1,,,
0050,185080,1598050,,,1,,,
1679,184994,1598061,,,1,,,
0832,185380,1598091,,,0,,,
0423,184862,1598161,,,1,,,
0170,184683,1598232,,,0,,,
1103,184994,1598338,,,1,,,
0832,185380,1598356,,,0,,,
1624,186096,1598371,,,0,,,
0504,184994,1598381,,,0,,,
0858,185174,1598392,,,0,,,
1624,186107,1598426,,,0,,,
0050,185380,1598560,,,0,,,
0050,185380,1598562,,,0,,,
0050,185380,1598571,,,0,,,
0050,185380,1598586,,,0,,,
0050,185380,1598587,,,0,,,
0050,185380,1598591,,,0,,,
1733,186068,1598621,,,1,,,
0647,184732,1597431,,,1,,,
0968,184749,1597454,,,0,,,
0968,184732,1597458,,,0,,,
0968,184732,1597459,,,0,,,
0968,184732,1597463,,,0,,,
0968,184732,1597473,,,0,,,
0968,184732,1597500,,,1,,,
0462,184735,1597531,,,0,,,
0442,184732,1596497,,,0,,,
0834,184732,1596499,,,1,,,
0334,184732,1596627,,,0,,,
1087,185086,1596737,,,1,,,
0281,184886,1596910,,,0,,,
1672,184732,1596925,,,0,,,
1733,185923,1598658,,,1,,,
1688,185605,1599573,,,1,,,
0420,184732,1600062,,,1,,,
1087,184862,1600075,,,1,,,
0050,185380,1600187,,,0,,,
